group,model,n,recovery_rate,auc,pr_auc,logloss,brier
all_post1990_purged,D0_pooled_prior,299,0.5752508361204013,0.5048754806811939,0.5669353212120236,0.6871316708082241,0.24699540023125013
all_post1990_purged,D0_market_prior,299,0.5752508361204013,0.507965574070683,0.5647248443489301,0.6943455758197951,0.25023084744390306
all_post1990_purged,D1_geometry,299,0.5752508361204013,0.7193737410730636,0.742894432763785,0.6146079954541648,0.21110326251956166
all_post1990_purged,D2_geometry_downside,299,0.5752508361204013,0.7179545870719648,0.7407567604072087,0.618975631667231,0.21254454619618796
validation_non_spy,D0_pooled_prior,254,0.5669291338582677,0.49169823232323234,0.5500191142864851,0.6894081025917254,0.24812811773303783
validation_non_spy,D0_market_prior,254,0.5669291338582677,0.502020202020202,0.5527263834813698,0.6951952256134766,0.25061708452576875
validation_non_spy,D1_geometry,254,0.5669291338582677,0.7190025252525253,0.7259130328821954,0.6129226679989187,0.2111853875369684
validation_non_spy,D2_geometry_downside,254,0.5669291338582677,0.7142045454545455,0.7219204503446492,0.6209094125036283,0.21403576485763431
leave_nikkei_out_eval,D0_pooled_prior,186,0.6182795698924731,0.5082669932639314,0.6120570985489073,0.6821932031820763,0.2445353587214694
leave_nikkei_out_eval,D0_market_prior,186,0.6182795698924731,0.4530312308634415,0.5688315930551143,0.6897657539131326,0.24773454539826836
leave_nikkei_out_eval,D1_geometry,186,0.6182795698924731,0.7556644213104715,0.8129496038372046,0.5838671898044123,0.19783887163724856
leave_nikkei_out_eval,D2_geometry_downside,186,0.6182795698924731,0.7543172075933864,0.8110115676622093,0.5881567797618453,0.19984194698281477
nikkei_only_eval,D0_pooled_prior,113,0.504424778761062,0.5150375939849623,0.512771446896763,0.6952604759273701,0.25104467209690695
nikkei_only_eval,D0_market_prior,113,0.504424778761062,0.45723684210526316,0.460990674964018,0.7018840437369563,0.2543398047933549
nikkei_only_eval,D1_geometry,113,0.504424778761062,0.6760651629072681,0.6332162254044207,0.6652079056387135,0.2329366846798292
nikkei_only_eval,D2_geometry_downside,113,0.504424778761062,0.6738721804511278,0.6417758198049042,0.6697040073699011,0.23345324932616504
