model,n_clusters,cluster_mean_logloss,cluster_mean_brier,median_cluster_size
D0_prior,167,0.6854188010597106,0.24613607663452286,2.0
D1_geometry,167,0.605718341736494,0.20783046671732275,2.0
D2_geometry_downside,167,0.6117396837148663,0.2097529037125392,2.0
D3_compact_quadratic,167,0.9059563594281779,0.27580109989304685,2.0
