episode_id,branch_date,current_outcome,mixed_subtype,recovery_threshold,relapse_threshold,terminal_return,max_forward_return,worst_forward_drawdown,terminal_recovery_margin,anytime_recovery_margin,relapse_margin,anytime_outcome,label_changes_under_anytime_recovery
1,1997-04-07,recovery,not_mixed,0.04129275199867562,-0.05255441163467805,0.10978756861062555,0.1184065637938796,-0.036323210205837175,0.06849481661194994,0.07711381179520398,-0.016231201428840873,recovery,False
2,1998-08-11,relapse,not_mixed,0.04827295054214249,-0.06143830068999953,-0.08801823954643773,0.032749218072656294,-0.10175412120835514,-0.1362911900885802,-0.015523732469486198,0.04031582051835561,relapse,False
3,1998-10-12,recovery,not_mixed,0.06388108308566412,-0.08130319665448159,0.18443189466168386,0.19537363799568452,-0.003439193885737324,0.12055081157601974,0.1314925549100204,-0.07786400276874426,recovery,False
4,1999-10-20,recovery,not_mixed,0.04613792304291968,-0.05872099296371595,0.10818721262657793,0.12159007828458868,-0.003411439800049876,0.062049289583658254,0.075452155241669,-0.05530955316366607,recovery,False
5,2000-04-24,mixed,neither,0.06292573547858596,-0.08008729970001847,0.042427365661746874,0.0461708926612272,-0.030974526366480015,-0.020498369816839085,-0.016754842817358756,-0.04911277333353846,mixed,False
6,2000-10-20,mixed,neither,0.059080445975736945,-0.07519329487821065,-0.0484690277973755,0.027697059757302078,-0.061016209256384846,-0.10754947377311244,-0.03138338621843487,-0.014177085621825805,mixed,False
7,2000-11-17,relapse,not_mixed,0.04648754811586247,-0.0591659703292795,-0.01058849025127484,0.014523196254466963,-0.07321532977712353,-0.05707603836713731,-0.031964351861395505,0.01404935944784403,relapse,False
8,2000-12-28,mixed,neither,0.061589217590852174,-0.07838627693381185,-0.05443322819778984,0.03149351881343643,-0.06550178170825516,-0.11602244578864201,-0.030095698777415747,-0.012884495225556694,mixed,False
9,2001-03-06,relapse,not_mixed,0.04284859620691528,-0.05453457699061944,0.008564728149455414,0.010394016519693405,-0.12209768155991951,-0.034283868057459865,-0.032454579687221874,0.06756310456930006,relapse,False
10,2001-04-10,recovery,not_mixed,0.0713727328660088,-0.09083802364764756,0.09892808409163223,0.1285904713327568,0.0006862154821780653,0.02755535122562343,0.057217738466748005,-0.09152423912982563,recovery,False
11,2001-09-26,recovery,not_mixed,0.07043252923698445,-0.0896414008470711,0.12476504006527045,0.1418279018960571,0.008678679987198512,0.054332510828285996,0.07139537265907264,-0.09832008083426962,recovery,False
12,2002-06-28,relapse,not_mixed,0.0510396549100992,-0.0649595607946717,-0.03738800748217497,0.0035368064162546453,-0.1920973719394048,-0.08842766239227418,-0.047502848493844556,0.1271378111447331,relapse,False
13,2002-07-31,mixed,neither,0.09399459250711821,-0.1196294813726959,-0.055362205154429356,0.060552049872818925,-0.0930465017368437,-0.14935679766154758,-0.033442542634299285,-0.026582979635852197,mixed,False
14,2002-09-10,relapse,not_mixed,0.06067854510214544,-0.07722723922091237,0.006113491139057237,0.006113491139057237,-0.1445011483360643,-0.0545650539630882,-0.0545650539630882,0.06727390911515194,relapse,False
15,2002-10-14,mixed,neither,0.0847300161724124,-0.10783820240125212,0.0717239298644139,0.1140271172002556,0.022687584297579333,-0.013006086307998502,0.029297101027843206,-0.13052578669883147,recovery,True
16,2002-12-16,relapse,not_mixed,0.051354860596776034,-0.06536073166862404,-0.0970730276408055,0.023317781590604048,-0.09981301856212754,-0.14842788823758152,-0.028037079006171986,0.034452286893503506,relapse,False
17,2003-01-31,relapse,not_mixed,0.046071251988877106,-0.05863613889493449,-0.011375319550961493,0.046140380126708846,-0.0643738885183951,-0.0574465715398386,6.912813783174071e-05,0.005737749623460603,mixed,True
18,2007-08-17,recovery,not_mixed,0.053673875440113816,-0.06831220510559939,0.07625591037697599,0.08646255290115423,-0.006841007877321781,0.022582034936862172,0.032788677461040416,-0.06147119722827761,recovery,False
19,2008-01-25,mixed,neither,0.04781367726828185,-0.06085377106872234,0.018623162269060023,0.04915824293038118,-0.037883435425214995,-0.029190514999221824,0.0013445656620993326,-0.022970335643507346,recovery,True
20,2008-07-23,relapse,not_mixed,0.044315713262493714,-0.05640181687953744,-0.06319729299295795,0.01981780085248741,-0.0901923799948463,-0.10751300625545167,-0.024497912410006303,0.03379056311530886,relapse,False
21,2008-09-24,relapse,not_mixed,0.0820037657965554,-0.10436842919561594,-0.31472254693057256,0.016143505877000974,-0.31472254693057256,-0.39672631272712794,-0.06586025991955442,0.2103541177349566,relapse,False
22,2008-10-22,mixed,neither,0.19040845584271537,-0.24233803470891044,-0.014893992959095437,0.10778879661703988,-0.1675860031210421,-0.2053024488018108,-0.08261965922567549,-0.07475203158786833,mixed,False
23,2008-11-28,mixed,neither,0.14864943485404475,-0.18919018981423874,-0.02209122714765044,0.04594371726575486,-0.09840814094884132,-0.1707406620016952,-0.10270571758828989,-0.09078204886539742,mixed,False
24,2008-12-30,relapse,not_mixed,0.07531024927550041,-0.09584940816881868,-0.16904567914016455,0.0505782103164063,-0.16904567914016455,-0.24435592841566495,-0.024732038959094108,0.07319627097134587,relapse,False
25,2009-03-17,recovery,not_mixed,0.09284069485656861,-0.11816088436290548,0.14243000676197148,0.19782524059641937,-0.011775393253054989,0.049589311905402875,0.10498454573985076,-0.10638549110985049,recovery,False
26,2010-02-11,recovery,not_mixed,0.04477080031708079,-0.05698101858537555,0.11193539084172666,0.11193539084172666,-0.0008325922457909085,0.06716459052464586,0.06716459052464586,-0.05614842633958464,recovery,False
27,2010-05-27,mixed,neither,0.0703332189922214,-0.08951500599009996,0.012016757528510835,0.013550087811607936,-0.07289243341979579,-0.05831646146371057,-0.05678313118061347,-0.016622572570304167,mixed,False
28,2010-07-07,mixed,neither,0.049946291275589395,-0.06356800707802286,0.022171303208507354,0.06488192815137572,-0.008269599926871596,-0.027774988067082042,0.014935636875786328,-0.055298407151151266,recovery,True
29,2011-08-15,mixed,neither,0.09542999939189253,-0.12145636286240866,-0.0024931574809439194,0.013265657911885942,-0.08391072562234336,-0.09792315687283645,-0.08216434148000659,-0.037545637240065294,mixed,False
30,2011-09-13,recovery,not_mixed,0.0666998994896028,-0.08489078116858537,0.09174125217511153,0.09814383302034702,-0.06150289440587142,0.025041352685508736,0.03144393353074422,-0.023387886762713944,recovery,False
31,2011-10-11,mixed,neither,0.06745101108871995,-0.08584674138564356,0.05873036947120869,0.0746033853442245,-0.028069654131788968,-0.008720641617511266,0.007152374255504551,-0.057777087253854595,recovery,True
32,2011-11-29,recovery,not_mixed,0.05930168903082118,-0.07547487694831785,0.10500763284993697,0.11121057105064369,0.00835463492073485,0.045705943819115795,0.051908882019822515,-0.0838295118690527,recovery,False
33,2015-08-31,mixed,neither,0.059527671261724674,-0.07576249069674049,0.0506123215871499,0.05523981487663465,-0.04392278136453143,-0.008915349674574774,-0.004287856385090022,-0.03183970933220906,mixed,False
34,2016-01-25,recovery,not_mixed,0.04685906628431958,-0.05963881163458855,0.09579355118286181,0.09638262760090788,-0.025474323470047855,0.048934484898542234,0.0495235613165883,-0.03416448816454069,recovery,False
35,2018-02-12,mixed,neither,0.055527626656100997,-0.07067152483503762,-0.0019738698424708323,0.05099121958152453,-0.025774426221285007,-0.05750149649857183,-0.004536407074576469,-0.044897098613752615,mixed,False
36,2018-04-04,mixed,neither,0.04689698063623622,-0.059687066264300634,0.028001166942334343,0.03722143652948673,-0.014569593607302145,-0.018895813693901878,-0.009675544106749492,-0.04511747265699849,mixed,False
37,2018-10-31,relapse,not_mixed,0.052249111280224386,-0.06649886890210376,-0.07113087676770291,0.03835464259187038,-0.12903644716593066,-0.1233799880479273,-0.013894468688354006,0.0625375782638269,relapse,False
38,2019-01-04,recovery,not_mixed,0.06601523900745665,-0.08401939510039935,0.10551127583808118,0.11105830417571072,0.007884525895548222,0.039496036830624526,0.04504306516825407,-0.09190392099594757,recovery,False
39,2020-03-25,mixed,neither,0.19927534390647336,-0.25362316497187515,0.1948618199657457,0.20316854435445708,-0.002593619017290827,-0.004413523940727665,0.003893200447983719,-0.2510295459545843,recovery,True
40,2020-06-18,recovery,not_mixed,0.05880421736675315,-0.07484173119404945,0.08513223470710995,0.08706497572832905,-0.0333869600272777,0.026328017340356807,0.028260758361575905,-0.04145477116677175,recovery,False
41,2020-09-17,recovery,not_mixed,0.046863944068141636,-0.05964501972308934,0.05593170444509865,0.06627552779347612,-0.03545815039693723,0.009067760376957015,0.019411583725334483,-0.024186869326152112,recovery,False
42,2022-03-03,mixed,neither,0.04988641989090459,-0.06349180713387856,-0.05147929247057659,0.06259643119088243,-0.05147929247057659,-0.10136571236148118,0.012710011299977841,-0.01201251466330197,recovery,True
43,2022-05-06,relapse,not_mixed,0.0655897074122167,-0.08347780943373033,-0.06426471451308935,0.01470811749238421,-0.10864489087105023,-0.12985442192530605,-0.05088158991983249,0.025167081437319896,relapse,False
44,2022-06-21,recovery,not_mixed,0.06652486357643218,-0.08466800818818641,0.1375208969187589,0.14565289314142849,-0.001813074733735598,0.07099603334232672,0.0791280295649963,-0.08285493345445082,recovery,False
45,2022-09-07,relapse,not_mixed,0.04598806084811767,-0.05853025926124066,-0.05372236647913975,0.03315906294264326,-0.09994202464404545,-0.09971042732725742,-0.012828997905474412,0.041411765382804784,relapse,False
46,2022-10-20,mixed,neither,0.061266931151669736,-0.0779760941930342,0.05369427965977147,0.11567842057565425,0.015325464544395206,-0.007572651491898265,0.054411489423984515,-0.0933015587374294,recovery,True
47,2022-12-23,recovery,not_mixed,0.0458658611988702,-0.0583747324349257,0.04635560100370073,0.08845411739362263,-0.01632250334766372,0.0004897398048305315,0.042588256194752434,-0.04205222908726198,recovery,False
48,2025-04-17,recovery,not_mixed,0.11089236043895469,-0.14113573146776048,0.14488713223134364,0.1469196915100115,-0.02380270712392807,0.03399477179238895,0.03602733107105681,-0.11733302434383241,recovery,False
