episode_id,branch_date,current_outcome,mixed_subtype,recovery_threshold,relapse_threshold,terminal_return,max_forward_return,worst_forward_drawdown,terminal_recovery_margin,anytime_recovery_margin,relapse_margin,anytime_outcome,label_changes_under_anytime_recovery
5,2000-04-24,mixed,neither,0.06292573547858596,-0.08008729970001847,0.042427365661746874,0.0461708926612272,-0.030974526366480015,-0.020498369816839085,-0.016754842817358756,-0.04911277333353846,mixed,False
6,2000-10-20,mixed,neither,0.059080445975736945,-0.07519329487821065,-0.0484690277973755,0.027697059757302078,-0.061016209256384846,-0.10754947377311244,-0.03138338621843487,-0.014177085621825805,mixed,False
8,2000-12-28,mixed,neither,0.061589217590852174,-0.07838627693381185,-0.05443322819778984,0.03149351881343643,-0.06550178170825516,-0.11602244578864201,-0.030095698777415747,-0.012884495225556694,mixed,False
13,2002-07-31,mixed,neither,0.09399459250711821,-0.1196294813726959,-0.055362205154429356,0.060552049872818925,-0.0930465017368437,-0.14935679766154758,-0.033442542634299285,-0.026582979635852197,mixed,False
15,2002-10-14,mixed,neither,0.0847300161724124,-0.10783820240125212,0.0717239298644139,0.1140271172002556,0.022687584297579333,-0.013006086307998502,0.029297101027843206,-0.13052578669883147,recovery,True
19,2008-01-25,mixed,neither,0.04781367726828185,-0.06085377106872234,0.018623162269060023,0.04915824293038118,-0.037883435425214995,-0.029190514999221824,0.0013445656620993326,-0.022970335643507346,recovery,True
22,2008-10-22,mixed,neither,0.19040845584271537,-0.24233803470891044,-0.014893992959095437,0.10778879661703988,-0.1675860031210421,-0.2053024488018108,-0.08261965922567549,-0.07475203158786833,mixed,False
23,2008-11-28,mixed,neither,0.14864943485404475,-0.18919018981423874,-0.02209122714765044,0.04594371726575486,-0.09840814094884132,-0.1707406620016952,-0.10270571758828989,-0.09078204886539742,mixed,False
27,2010-05-27,mixed,neither,0.0703332189922214,-0.08951500599009996,0.012016757528510835,0.013550087811607936,-0.07289243341979579,-0.05831646146371057,-0.05678313118061347,-0.016622572570304167,mixed,False
28,2010-07-07,mixed,neither,0.049946291275589395,-0.06356800707802286,0.022171303208507354,0.06488192815137572,-0.008269599926871596,-0.027774988067082042,0.014935636875786328,-0.055298407151151266,recovery,True
29,2011-08-15,mixed,neither,0.09542999939189253,-0.12145636286240866,-0.0024931574809439194,0.013265657911885942,-0.08391072562234336,-0.09792315687283645,-0.08216434148000659,-0.037545637240065294,mixed,False
31,2011-10-11,mixed,neither,0.06745101108871995,-0.08584674138564356,0.05873036947120869,0.0746033853442245,-0.028069654131788968,-0.008720641617511266,0.007152374255504551,-0.057777087253854595,recovery,True
33,2015-08-31,mixed,neither,0.059527671261724674,-0.07576249069674049,0.0506123215871499,0.05523981487663465,-0.04392278136453143,-0.008915349674574774,-0.004287856385090022,-0.03183970933220906,mixed,False
35,2018-02-12,mixed,neither,0.055527626656100997,-0.07067152483503762,-0.0019738698424708323,0.05099121958152453,-0.025774426221285007,-0.05750149649857183,-0.004536407074576469,-0.044897098613752615,mixed,False
36,2018-04-04,mixed,neither,0.04689698063623622,-0.059687066264300634,0.028001166942334343,0.03722143652948673,-0.014569593607302145,-0.018895813693901878,-0.009675544106749492,-0.04511747265699849,mixed,False
39,2020-03-25,mixed,neither,0.19927534390647336,-0.25362316497187515,0.1948618199657457,0.20316854435445708,-0.002593619017290827,-0.004413523940727665,0.003893200447983719,-0.2510295459545843,recovery,True
42,2022-03-03,mixed,neither,0.04988641989090459,-0.06349180713387856,-0.05147929247057659,0.06259643119088243,-0.05147929247057659,-0.10136571236148118,0.012710011299977841,-0.01201251466330197,recovery,True
46,2022-10-20,mixed,neither,0.061266931151669736,-0.0779760941930342,0.05369427965977147,0.11567842057565425,0.015325464544395206,-0.007572651491898265,0.054411489423984515,-0.0933015587374294,recovery,True
