family,model,n_oos,future_rv_rmse,future_rv_mae,qlike,mz_intercept,mz_slope,har_residual_rmse,residual_r2_vs_har
generic,har_zero_residual,62,0.11155676097969904,0.06783040200499758,0.07140938819699086,0.09164050552193274,0.6845759873205159,0.35106196780011395,0.0
volatility_failure,har_zero_residual,62,0.11155676097969904,0.06783040200499758,0.07140938819699086,0.09164050552193274,0.6845759873205159,0.35106196780011395,0.0
volatility_failure,reset_esn_seed1,62,0.11157909705275208,0.06934446932240806,0.06788551700829287,0.08903035575844886,0.6494149874904432,0.35108363643103574,-0.00012344999821567448
generic,reset_esn_seed2,62,0.11244922068083862,0.06972577429017163,0.07187985252303217,0.0925660504225176,0.6388217103949638,0.3584988456968988,-0.042816652314269454
volatility_failure,reset_esn_seed2,62,0.11247741072555084,0.07008132236166906,0.0685163078587432,0.0915475854822557,0.6405392290049448,0.3531834954468481,-0.012122862739464946
volatility_failure,reset_esn_ensemble,62,0.11248129387922425,0.07000698253702037,0.0684666735732265,0.09145313284164594,0.640509815254371,0.3528313276476649,-0.010105444713692346
generic,reset_esn_seed0,62,0.11250080826344802,0.06969107756912121,0.06809327292996217,0.09078108911607664,0.6444051325616648,0.35252293448562905,-0.00834044569131187
generic,reset_esn_ensemble,62,0.11338309966962187,0.07047535212190693,0.07225240255058123,0.09267353809910242,0.6333750006787753,0.3615251922972294,-0.06049729694319406
volatility_failure,reset_esn_seed0,62,0.11346688882023026,0.07065099838398693,0.06910055530887353,0.09390966705177746,0.6310006372192589,0.3545186876170438,-0.019789885393743045
volatility_failure,full_path_linear,62,0.11500843375526247,0.07221016420231492,0.07105327876958506,0.09575892042982881,0.610013511507341,0.36235285360447744,-0.06535857533133327
generic,full_path_linear,62,0.11553933262923319,0.07109022823905246,0.07067182866749526,0.09781322432968974,0.6171644939140568,0.3591628826310715,-0.04668338773537917
generic,reset_esn_seed1,62,0.11737574890664179,0.07579223037927542,0.08026150737712166,0.09898507534211375,0.5989267412162098,0.3823131418468603,-0.18596231247226935
