family,model,n_oos,future_rv_rmse,future_rv_mae,qlike,mz_intercept,mz_slope,har_residual_rmse,residual_r2_vs_har,outcome
generic,full_path_linear,25,0.10827162089188713,0.06594942075192858,0.03392779082681139,0.06708266798563141,0.6343935786587637,0.28182763416268547,-0.30353947049993546,mixed
generic,full_path_linear,22,0.06500335151551431,0.05047523351547259,0.0552653532191188,0.0750406155841894,0.5643297600751171,0.3379107087589175,-0.18408716452220308,recovery
generic,full_path_linear,15,0.17158685555483358,0.10989356631217612,0.1545080557262538,0.05691323525277198,1.2113593003261158,0.48305720210626374,0.12416388731481542,relapse
generic,har_zero_residual,25,0.09391548754156744,0.05773885318687978,0.026890127841287016,0.06339125491963955,0.6942695509119902,0.24684337853969526,0.0,mixed
generic,har_zero_residual,22,0.059139820247427824,0.04564605150856627,0.048997925096233484,0.06893712514698372,0.6305651867725928,0.3105346871848671,0.0,recovery
generic,har_zero_residual,15,0.17778940793299058,0.1171866974299599,0.17847830133760814,0.05236411325280868,1.3023541610752007,0.5161633180561049,0.0,relapse
generic,reset_esn_ensemble,25,0.09981229412122178,0.06290583937883407,0.02995712780464961,0.056271229321831255,0.6726897256134596,0.26346515118792596,-0.13920896398394111,mixed
generic,reset_esn_ensemble,22,0.07152725547525085,0.052924161554465936,0.06648403986618866,0.09447118485734078,0.46549440298956457,0.36536250446153773,-0.3842920158793559,recovery
generic,reset_esn_ensemble,15,0.1703794742158917,0.10883295285927513,0.1512047923975764,0.09151995318796638,1.040456268630498,0.4782821307792535,0.1413937691848195,relapse
generic,reset_esn_seed0,25,0.10141453278436369,0.06401465765026439,0.030626303681520452,0.059270452898832406,0.6652263967253126,0.26643296446353215,-0.16501884392759658,mixed
generic,reset_esn_seed0,22,0.06487438294869938,0.049121856540636395,0.054160939168134206,0.07162379909501121,0.5741044736402056,0.3373453783432614,-0.18012848246625324,recovery
generic,reset_esn_seed0,15,0.1702909287921498,0.10931996827566025,0.1509723111947127,0.0765206972356416,1.1164489931382668,0.47795292590988797,0.14257533151538382,relapse
generic,reset_esn_seed1,25,0.10019148666489966,0.06598949693365184,0.03159840187646239,0.05110114830785983,0.6809860587512649,0.2699080481423702,-0.19560770523782667,mixed
generic,reset_esn_seed1,22,0.08683794303441193,0.06198111756400285,0.08535382226893412,0.12360322233478108,0.32223468920917103,0.4123692963868749,-0.7634063743167594,recovery
generic,reset_esn_seed1,15,0.1707476783704679,0.11238641825104784,0.1538979547035622,0.10884425493101658,0.9586619010797428,0.48303226365870194,0.1242543173055628,relapse
generic,reset_esn_seed2,25,0.0995789794268413,0.06284268462010195,0.030060169968114447,0.060171986210605516,0.6648297968951186,0.26366295346288154,-0.14092017863600215,mixed
generic,reset_esn_seed2,22,0.06730299654143994,0.050067278767826455,0.06591353636277704,0.08606059203794894,0.5131907686946436,0.3579299245548641,-0.32854350528834164,recovery
