episode_id,start_idx,branch_idx,end_idx,start_date,branch_date,end_date,candidate_days,calendar_rows,rv_20d,branch_stress_cut,drawdown_120d,rv_ratio_5_20_branch,rv_5d_change_5d_branch,return_5d_branch,worst_return_5d_in_prior_window
1,804,804,805,1952-07-25,1952-07-25,1952-07-28,2,2,0.28423208262911154,0.22701548750402717,-0.06230991484184922,1.006362986241358,-0.03483371862152085,0.03234394616130043,-0.09667973034936761
2,946,946,967,1953-02-23,1953-02-23,1953-03-24,7,22,0.36433213246186313,0.22118555335295806,-0.10208039120628964,0.736930498292246,-0.29483523586540583,-0.0013840183304489884,-0.14168646234325433
3,977,977,1000,1953-04-07,1953-04-07,1953-05-12,18,24,0.44442597100600767,0.22899600149666116,-0.3349914634403389,1.067031055786715,-0.06810010066190292,0.02714808120586021,-0.17703966001940152
4,1167,1167,1180,1954-01-11,1954-01-11,1954-01-29,8,14,0.26018173759909663,0.22207546095981925,-0.16323995830283677,0.5746521287366199,-0.22200347082003744,0.038888910385249886,-0.10939103432459873
5,1229,1229,1234,1954-04-08,1954-04-08,1954-04-15,6,6,0.23040177105396747,0.22129111171563048,-0.2672095916751499,0.847265160903233,0.05934762024212023,0.003835333024064802,-0.07561464166575949
6,2021,2021,2028,1957-06-05,1957-06-05,1957-06-14,8,8,0.2116422596996994,0.18775447395916245,-0.12790639027588635,0.6226651671495581,-0.020130000682268695,0.008498991210959872,-0.07238367863514572
7,2665,2665,2672,1959-12-28,1959-12-28,1960-01-12,5,8,0.29172255118441864,0.17248745543179914,-0.10445988965432529,1.1174009616821214,-0.08094472394238061,0.023628747002612194,-0.09412317286494698
8,2763,2763,2763,1960-05-24,1960-05-24,1960-05-24,1,1,0.22684366466409492,0.171897817679603,-0.0723145182510232,1.3621915681012489,-0.0036193893983952896,-0.0077261088050155635,-0.056019261405981347
9,3100,3100,3118,1961-09-21,1961-09-21,1961-10-17,8,19,0.2293215815614221,0.17224426916128596,-0.18262157464995032,1.0329959172513683,-0.030461591077006633,-0.009376930019989516,-0.0677649639874609
10,3125,3125,3136,1961-10-26,1961-10-26,1961-11-13,11,12,0.3000609525192134,0.17358469934022563,-0.26247444992184676,0.9313820242814136,-0.006662723018095895,0.025464503924534476,-0.0997464511792785
11,3166,3166,3175,1961-12-26,1961-12-26,1962-01-12,10,10,0.23304837430817285,0.1751891312995493,-0.23549793959797571,0.7132778070113414,0.03189228521402179,0.10612016345935604,-0.052585096723224645
12,3249,3249,3263,1962-04-30,1962-04-30,1962-05-21,11,15,0.18754506859044112,0.1756090749509272,-0.132938305152979,0.7781611602115264,-0.09266382533271766,0.025399286973080137,-0.05748995464571216
