index,T80,C50,train_days
SPX,-4.476310238636124,-5.032760258943677,2313.0
GDAXI,-4.2831719045445835,-4.760179254301673,2333.0
FCHI,-4.301432041358825,-4.765859810135789,2351.0
FTSE,-4.401168858361407,-4.92081861348986,2320.0
OMXSPI,-4.347447528241685,-4.924197828168393,2306.0
N225,-4.531900533782317,-5.0099480356221715,2248.0
KS11,-4.549372700880017,-5.071305753860477,2282.0
HSI,-4.442811505188134,-4.9422838145867924,2266.0
