path,sha256,bytes
data/raw/transition_forecasting/spillover_volatility/global index etf return/FCHI.csv,07cde105ff877aee1aed3d12209496251b0d706f2dcf10a0ce8aa6a4e18c7dcb,301342
data/raw/transition_forecasting/spillover_volatility/global index etf return/FTSE.csv,8a8c3038934627454bfe231acbd8a8367c3e16649e82650f5a380d2a189b9add,289624
data/raw/transition_forecasting/spillover_volatility/global index etf return/GDAXI.csv,0ba60bf6b17b15be97454daf93184376dd25aeafe14912b9c8ba29df0eccc2f3,299414
data/raw/transition_forecasting/spillover_volatility/global index etf return/HSI.csv,db81f0c848b3fa2a1803de4248e6a37ca35b391a8cb69c39253c5b517bf20f85,295266
data/raw/transition_forecasting/spillover_volatility/global index etf return/KS11.csv,70d0d5770f6cdcc84550e72d8fad4ba5b27a6d2b1698abe5c13ec7c76e22577b,292105
data/raw/transition_forecasting/spillover_volatility/global index etf return/N225.csv,ee211539ebc1cd5e14ab7268a07353107c147acd7b4d821cde3c4b2fe6da7ffa,294522
data/raw/transition_forecasting/spillover_volatility/global index etf return/OMXSPI.csv,108ae1061c64616b7cc37297fbde20136e6af4921b81ef4c5b7eb0d1697cc69d,265747
data/raw/transition_forecasting/spillover_volatility/global index etf return/SPX.csv,fbc8a03d332894e8e4a3ffa21881f5e8bd2fe3f781952acd69985ab171c7d08a,268475
