episode_id,event_type,event_day,segment,n_rows,return_sign_switch_rate,repair_sign_switch_rate,directional_coherence,rv_ratio_choppiness,mean_downside_pressure
1,recovery,16,pre_entry,20,0.5263157894736842,0.5263157894736842,0.2420319285999181,0.12806394674097882,0.22306194437811872
1,recovery,16,early_residence,15,0.5714285714285714,0.5714285714285714,0.07572950327949278,0.13830279919300548,0.1185722481320431
1,recovery,16,late_residence,10,0.6666666666666666,0.6666666666666666,0.4102137912197606,0.11528840197899455,0.09843831018097945
2,relapse,14,pre_entry,20,0.5294117647058824,0.5625,0.35128689194491086,0.10361963529229165,0.32322952931285726
2,relapse,14,early_residence,13,0.4166666666666667,0.4166666666666667,0.1701845347361249,0.1955243127897438,0.1104129535544997
2,relapse,14,late_residence,10,0.3333333333333333,0.3333333333333333,0.17265349554321463,0.23192637024852875,0.11508451997894176
3,recovery,5,pre_entry,20,0.5263157894736842,0.5263157894736842,0.12948233266005832,0.13211982648446516,0.09804889096886106
4,recovery,6,pre_entry,20,0.5789473684210527,0.5789473684210527,0.10994624167693588,0.12051300721335312,0.18021843545482713
4,recovery,6,early_residence,5,0.5,0.5,0.28644668689734665,0.18129312155588498,0.06668783535960744
4,recovery,6,late_residence,5,0.5,0.5,0.28644668689734665,0.18129312155588498,0.06668783535960744
5,recovery,57,pre_entry,20,0.5263157894736842,0.5,0.2259050773654904,0.13295836214168674,0.1847825177032533
5,recovery,57,early_residence,20,0.3684210526315789,0.3684210526315789,0.0744808283293573,0.1376243050230255,0.07324599733570292
5,recovery,57,late_residence,10,0.5555555555555556,0.5555555555555556,0.3333741943529845,0.08285292268802605,0.11830499287000296
6,relapse,42,pre_entry,20,0.5263157894736842,0.5263157894736842,0.2209876171680853,0.09305677886405542,0.24959102167034647
6,relapse,42,early_residence,20,0.3684210526315789,0.3684210526315789,0.13934202692969067,0.24233520083909904,0.10419934487719804
6,relapse,42,late_residence,10,0.4444444444444444,0.4444444444444444,0.3616379989881348,0.12411818901160218,0.1131348754557682
