model,rmse,qlike,corr,actual_std,pred_std,q80_f1,q90_f1,q95_f1,top20_pred_actual_ratio,effective_rank,delta_qlike_vs_ring,delta_q95_f1_vs_ring,passes_option_b_gate
Structured script: ring control,0.1150815813116229,-1.2364030581539325,0.5893715206524968,0.1227356513223582,0.0597547090414492,0.3952802359882006,0.4046242774566474,0.5476190476190477,0.5330342122842753,8.828432856103213,0.0,0.0,False
Structured: cross matched,0.1170928302489775,-1.9770802055008527,0.3517946921652609,0.1227356513223582,0.0326268879654707,0.2658959537572254,0.0709219858156028,0.0363636363636363,0.5086000525837413,7.292243949273309,-0.7406771473469203,-0.5112554112554114,False
Structured: cross all,0.1154541974404933,-2.012117681264472,0.4168336889393932,0.1227356513223582,0.0298260263929193,0.2269938650306748,0.0985915492957746,0.109090909090909,0.5112709105705883,6.934959159553887,-0.7757146231105394,-0.43852813852813866,False
Structured: block + cross,0.1173016677450155,-1.9001109981513584,0.5719090314847622,0.1227356513223582,0.0258491226414997,0.1780821917808219,0.0597014925373134,0.0384615384615384,0.4634179000026724,8.706987380916026,-0.6637079399974259,-0.5091575091575092,False
