run_name,entangler,split,n,rmse,qlike,corr,actual_mean,actual_std,pred_mean,pred_std,effective_rank,q80_actual_rate,q80_pred_rate,q80_f1,q80_precision,q80_recall,q90_actual_rate,q90_pred_rate,q90_f1,q90_precision,q90_recall,q95_actual_rate,q95_pred_rate,q95_f1,q95_precision,q95_recall,top20_actual_mean,top20_pred_mean,top20_pred_actual_ratio
structured_level_rate_rf_qrc_ring,ring,train,5420,0.07726441150217599,-2.5333035531076504,0.6723658451986746,0.1635269714105126,0.09931935412572275,0.1487549397079343,0.0481598844275586,8.376355090897698,0.2,0.05738007380073801,0.37849462365591396,0.8488745980707395,0.24354243542435425,0.1,0.031549815498154984,0.423562412342216,0.8830409356725146,0.2785977859778598,0.05,0.018819188191881917,0.40214477211796246,0.7352941176470589,0.2767527675276753,,,
structured_level_rate_rf_qrc_ring,ring,val,1219,0.06278985739132739,-2.745799082169544,0.3072033111828475,0.12228793482725692,0.06081226069827106,0.10771168857818719,0.038200312340410165,9.222118363147663,0.10500410172272355,0.031173092698933553,0.13253012048192772,0.2894736842105263,0.0859375,0.026251025430680888,0.012305168170631665,0.0425531914893617,0.06666666666666667,0.03125,0.0,0.003281378178835111,0.0,0.0,0.0,,,
structured_level_rate_rf_qrc_ring,ring,test,1136,0.11508158131162298,-1.2364030581539325,0.5893715206524968,0.17837343854471946,0.12273565132235827,0.12132919676541551,0.05975470904144924,8.828432856103213,0.23327464788732394,0.06514084507042253,0.3952802359882006,0.9054054054054054,0.2528301886792453,0.11443661971830986,0.037852112676056336,0.4046242774566474,0.813953488372093,0.2692307692307692,0.0448943661971831,0.029049295774647887,0.5476190476190477,0.696969696969697,0.45098039215686275,0.34715294385154627,0.1850443959680762,0.5330342122842753
structured_level_rate_rf_qrc_cross_matched,cross_matched,train,5420,0.08808405108780676,-2.3882261905551014,0.5014189869765506,0.1635269714105126,0.09931935412572275,0.14746277896236268,0.03900670319043017,8.139715190037897,0.2,0.05018450184501845,0.30973451327433627,0.7720588235294118,0.1937269372693727,0.1,0.01734317343173432,0.22327044025157233,0.7553191489361702,0.13099630996309963,0.05,0.007011070110701107,0.08414239482200647,0.34210526315789475,0.04797047970479705,,,
structured_level_rate_rf_qrc_cross_matched,cross_matched,val,1219,0.06642889633270094,-2.975143828939547,0.19716701762986083,0.12228793482725692,0.06081226069827106,0.13948858305357345,0.03570871216258837,9.01460886918623,0.10500410172272355,0.026251025430680888,0.1125,0.28125,0.0703125,0.026251025430680888,0.009844134536505332,0.045454545454545456,0.08333333333333333,0.03125,0.0,0.006562756357670222,0.0,0.0,0.0,,,
structured_level_rate_rf_qrc_cross_matched,cross_matched,test,1136,0.11709283024897758,-1.9770802055008527,0.35179469216526094,0.17837343854471946,0.12273565132235827,0.1583812340738067,0.03262688796547074,7.292243949273309,0.23327464788732394,0.07130281690140845,0.2658959537572254,0.5679012345679012,0.17358490566037735,0.11443661971830986,0.009683098591549295,0.07092198581560284,0.45454545454545453,0.038461538461538464,0.0448943661971831,0.0035211267605633804,0.03636363636363636,0.25,0.0196078431372549,0.34715294385154627,0.176562005497497,0.5086000525837413
structured_level_rate_rf_qrc_cross_all,cross_all,train,5420,0.08749963847957447,-2.3973182810772267,0.5173192518977162,0.1635269714105126,0.09931935412572275,0.147391402432237,0.03828854482414551,7.352816055726024,0.2,0.0529520295202952,0.3238512035010941,0.7735191637630662,0.2047970479704797,0.1,0.014760147601476014,0.1864951768488746,0.725,0.1070110701107011,0.05,0.0051660516605166054,0.09364548494983277,0.5,0.05166051660516605,,,
structured_level_rate_rf_qrc_cross_all,cross_all,val,1219,0.06666117123594616,-2.9680380650209583,0.19259873664433028,0.12228793482725692,0.06081226069827106,0.13954001738515692,0.03590173892075838,8.066107651859971,0.10500410172272355,0.031173092698933553,0.1566265060240964,0.34210526315789475,0.1015625,0.026251025430680888,0.009844134536505332,0.045454545454545456,0.08333333333333333,0.03125,0.0,0.005742411812961444,0.0,0.0,0.0,,,
structured_level_rate_rf_qrc_cross_all,cross_all,test,1136,0.11545419744049334,-2.012117681264472,0.4168336889393932,0.17837343854471946,0.12273565132235827,0.15768866379945096,0.029826026392919345,6.934959159553887,0.23327464788732394,0.05369718309859155,0.22699386503067484,0.6065573770491803,0.13962264150943396,0.11443661971830986,0.01056338028169014,0.09859154929577464,0.5833333333333334,0.05384615384615385,0.0448943661971831,0.0035211267605633804,0.10909090909090909,0.75,0.058823529411764705,0.34715294385154627,0.17748920171024035,0.5112709105705883
structured_level_rate_rf_qrc_block_plus_cross,block_plus_cross,train,5420,0.08987652100051706,-2.3618756224358854,0.4831055417102166,0.1635269714105126,0.09931935412572275,0.14662741298787313,0.03281247534220123,6.959500179780613,0.2,0.03671586715867159,0.20109119251753702,0.6482412060301508,0.11900369003690037,0.1,0.007380073800738007,0.10652920962199312,0.775,0.05719557195571956,0.05,0.002214022140221402,0.05653710247349823,0.6666666666666666,0.02952029520295203,,,
