run_name,leak,ridge_alpha,input_mode,n_qubits,input_scale,feature_seconds_for_leak,n_common_test,rmse,qlike,corr,actual_std,pred_std,q80_amplitude_f1,q90_amplitude_f1,q95_amplitude_f1,top20_pred_actual_ratio,watch_q80_precision,watch_q80_recall,watch_q80_f1,warning_q90_precision,warning_q90_recall,warning_q90_f1,crisis_q95_precision,crisis_q95_recall,crisis_q95_f1,crisis_q95_signal_rate,crisis_q95_tp,crisis_q95_fp,crisis_q95_fn,selection_score
rf_qrc_ring_leak0p3_alpha10000,0.3,10000.0,level_rate,6,1.0471975511965976,9.8815598487854,1058,0.12862402740014148,-0.7328247732604135,0.5416482801425422,0.12436660244611399,0.047044720873652,0.3597560975609756,0.17105263157894737,0.0,0.44321830309780275,0.48866498740554154,0.7320754716981132,0.5861027190332325,0.6190476190476191,0.3,0.40414507772020725,0.7391304347826086,0.3333333333333333,0.4594594594594595,0.021739130434782608,17,6,34,0.6520790165340873
rf_qrc_ring_leak0p2_alpha10000,0.2,10000.0,level_rate,6,1.0471975511965976,13.104657888412476,1058,0.12992393112927067,-0.5608892036911883,0.5337736402505764,0.12436660244611399,0.04960820241096763,0.35365853658536583,0.16560509554140126,0.21052631578947367,0.44391230074063726,0.48737373737373735,0.7283018867924528,0.5839636913767019,0.6031746031746031,0.2923076923076923,0.3937823834196892,0.625,0.29411764705882354,0.4,0.022684310018903593,15,9,36,0.5613064965071901
rf_qrc_ring_leak0p5_alpha10000,0.5,10000.0,level_rate,6,1.0471975511965976,9.115602016448975,1058,0.1287372053927982,-0.9177486514311307,0.5028439104310328,0.12436660244611399,0.04221699442909661,0.3018867924528302,0.014814814814814815,0.0,0.4350956296438897,0.4835443037974684,0.720754716981132,0.5787878787878787,0.5471698113207547,0.2230769230769231,0.31693989071038253,0.7857142857142857,0.21568627450980393,0.3384615384615385,0.013232514177693762,11,3,40,0.5194397618292304
rf_qrc_ring_leak0p5_alpha3000,0.5,3000.0,level_rate,6,1.0471975511965976,9.115602016448975,1058,0.13071646177073273,0.07607179778353422,0.5155527238085675,0.12436660244611399,0.05814467503799737,0.3343465045592705,0.21818181818181817,0.09523809523809523,0.45873246093922765,0.48484848484848486,0.7245283018867924,0.5809379727685325,0.53125,0.26153846153846155,0.3505154639175258,0.53125,0.3333333333333333,0.40963855421686746,0.030245746691871456,17,15,34,0.4561594375974648
rf_qrc_ring_leak0p3_alpha3000,0.3,3000.0,level_rate,6,1.0471975511965976,9.8815598487854,1058,0.1311240917937331,0.5146035253138436,0.5466034082242264,0.12436660244611399,0.06650328274246887,0.3772455089820359,0.32044198895027626,0.32,0.47692518910212467,0.48743718592964824,0.7320754716981132,0.5852187028657616,0.6231884057971014,0.33076923076923076,0.4321608040201005,0.47619047619047616,0.39215686274509803,0.4301075268817204,0.03969754253308128,20,22,31,0.44627676656638865
rf_qrc_ring_leak0p1_alpha10000,0.1,10000.0,level_rate,6,1.0471975511965976,9.795370817184448,1058,0.13550162366547455,-0.13405294784862812,0.4610488646387424,0.12436660244611399,0.048917778422285126,0.3281733746130031,0.14285714285714285,0.17857142857142858,0.4209097139436654,0.4860759493670886,0.7245283018867924,0.5818181818181818,0.5862068965517241,0.26153846153846155,0.36170212765957444,0.5833333333333334,0.27450980392156865,0.37333333333333335,0.022684310018903593,14,10,37,0.44451952039195436
rf_qrc_ring_leak0p2_alpha30000,0.2,30000.0,level_rate,6,1.0471975511965976,13.104657888412476,1058,0.12855631420655125,-1.3282186911991982,0.5234026638974845,0.12436660244611399,0.028572014379934767,0.14685314685314685,0.0,0.0,0.4185054978391324,0.4727272727272727,0.6867924528301886,0.5599999999999999,0.5714285714285714,0.09230769230769231,0.15894039735099338,1.0,0.13725490196078433,0.24137931034482762,0.006616257088846881,7,0,44,0.42992178587705193
rf_qrc_ring_leak0p3_alpha30000,0.3,30000.0,level_rate,6,1.0471975511965976,9.8815598487854,1058,0.12796670599541604,-1.4010850208880687,0.5243090126852323,0.12436660244611399,0.027307866138367234,0.1003584229390681,0.0,0.0,0.4193779512121412,0.4699738903394256,0.6792452830188679,0.5555555555555556,0.5714285714285714,0.06153846153846154,0.11111111111111112,1.0,0.11764705882352941,0.21052631578947367,0.005671077504725898,6,0,45,0.3927730936819527
rf_qrc_ring_leak0p2_alpha3000,0.2,3000.0,level_rate,6,1.0471975511965976,13.104657888412476,1058,0.13329867660086722,0.8289862019912945,0.5348183727201539,0.12436660244611399,0.07029301434404556,0.37237237237237236,0.34594594594594597,0.3373493975903614,0.4795611929806426,0.48743718592964824,0.7320754716981132,0.5852187028657616,0.6176470588235294,0.3230769230769231,0.42424242424242425,0.46511627906976744,0.39215686274509803,0.425531914893617,0.04064272211720227,20,23,31,0.3894153130536664
rf_qrc_ring_leak0p1_alpha30000,0.1,30000.0,level_rate,6,1.0471975511965976,9.795370817184448,1058,0.13170937138834035,-1.1054662896768093,0.45647661214534035,0.12436660244611399,0.028742666670034913,0.12056737588652482,0.015267175572519083,0.0,0.4055173526521373,0.4699738903394256,0.6792452830188679,0.5555555555555556,0.7058823529411765,0.09230769230769231,0.16326530612244897,1.0,0.13725490196078433,0.24137931034482762,0.006616257088846881,7,0,44,0.38397076670160757
