run_name,virtual_nodes,ridge_alpha,split,n,rmse,qlike,corr,actual_std,pred_std,pred_mean,effective_rank,q80_f1,q80_precision,q80_recall,q80_pred_rate,q80_actual_rate,q90_f1,q90_precision,q90_recall,q90_pred_rate,q90_actual_rate,q95_f1,q95_precision,q95_recall,q95_pred_rate,q95_actual_rate,top20_pred_actual_ratio,passes_tm_gate
rf_qrc_ring_tm_vn1_alpha1000,1,1000.0,test,1136,0.1290072069702884,1.061739995554135,0.5559503839236545,0.1227356513223582,0.0729613481312334,0.0995541112861951,10.926581721349288,0.3905325443786982,0.9041095890410958,0.2490566037735849,0.0642605633802816,0.2332746478873239,0.3351351351351351,0.5636363636363636,0.2384615384615384,0.0484154929577464,0.1144366197183098,0.3095238095238095,0.3939393939393939,0.2549019607843137,0.0290492957746478,0.0448943661971831,0.497632028150663,False
rf_qrc_ring_tm_vn1_alpha3000,1,3000.0,test,1136,0.1268295927649746,0.2348869201359168,0.5562447931265015,0.1227356513223582,0.064820184745611,0.1030691525201187,10.926581721349288,0.3772455089820359,0.9130434782608696,0.2377358490566037,0.0607394366197183,0.2332746478873239,0.3204419889502762,0.5686274509803921,0.2230769230769231,0.0448943661971831,0.1144366197183098,0.32,0.5,0.2352941176470588,0.0211267605633802,0.0448943661971831,0.482346933772121,False
rf_qrc_ring_tm_vn1_alpha10000,1,10000.0,test,1136,0.1243465682830056,-0.9404859870072734,0.5523881650171394,0.1227356513223582,0.045956112067916,0.1111610583595599,10.926581721349288,0.3597560975609756,0.9365079365079364,0.2226415094339622,0.0554577464788732,0.2332746478873239,0.1342281879194631,0.5263157894736842,0.0769230769230769,0.016725352112676,0.1144366197183098,0.0,0.0,0.0,0.0,0.0448943661971831,0.4501122581691998,False
rf_qrc_ring_tm_vn2_alpha1000,2,1000.0,test,1136,0.1276495054868484,0.8455757878136335,0.5602552531915821,0.1227356513223582,0.074278261375678,0.1013777776667781,13.163286207104877,0.417391304347826,0.9,0.2716981132075471,0.0704225352112676,0.2332746478873239,0.3278688524590163,0.5660377358490566,0.2307692307692307,0.0466549295774647,0.1144366197183098,0.3488372093023256,0.4285714285714285,0.2941176470588235,0.0308098591549295,0.0448943661971831,0.5112116591833512,False
rf_qrc_ring_tm_vn2_alpha3000,2,3000.0,test,1136,0.1271391819910302,0.5286513073611331,0.5572777239357041,0.1227356513223582,0.0705393089557458,0.1023865268952758,13.163286207104877,0.3941176470588235,0.8933333333333333,0.2528301886792453,0.0660211267605633,0.2332746478873239,0.3459459459459459,0.5818181818181818,0.2461538461538461,0.0484154929577464,0.1144366197183098,0.35,0.4827586206896552,0.2745098039215686,0.0255281690140845,0.0448943661971831,0.4988031424396228,False
rf_qrc_ring_tm_vn2_alpha10000,2,10000.0,test,1136,0.1253157016578434,-0.3930019788547428,0.5547638596520089,0.1227356513223582,0.0568149853161103,0.1066167106824724,13.163286207104877,0.3772455089820359,0.9130434782608696,0.2377358490566037,0.0607394366197183,0.2332746478873239,0.2954545454545454,0.5652173913043478,0.2,0.0404929577464788,0.1144366197183098,0.2318840579710145,0.4444444444444444,0.1568627450980392,0.0158450704225352,0.0448943661971831,0.4689347142244714,False
rf_qrc_ring_tm_vn3_alpha1000,3,1000.0,test,1136,0.1259154954249388,0.762270499024077,0.5723964333334728,0.1227356513223582,0.0780904326713437,0.1031085684176058,14.860769057451195,0.4342857142857143,0.8941176470588236,0.2867924528301886,0.0748239436619718,0.2332746478873239,0.3936170212765957,0.6379310344827587,0.2846153846153846,0.051056338028169,0.1144366197183098,0.3908045977011494,0.4722222222222222,0.3333333333333333,0.0316901408450704,0.0448943661971831,0.529217080698219,False
rf_qrc_ring_tm_vn3_alpha3000,3,3000.0,test,1136,0.1261210666710056,0.5961399823768414,0.5677895340941194,0.1227356513223582,0.0741293611477624,0.1030131192898853,14.860769057451195,0.4081632653061224,0.8974358974358975,0.2641509433962264,0.0686619718309859,0.2332746478873239,0.3387978142076502,0.5849056603773585,0.2384615384615384,0.0466549295774647,0.1144366197183098,0.3764705882352941,0.4705882352941176,0.3137254901960784,0.0299295774647887,0.0448943661971831,0.5137672682838804,False
rf_qrc_ring_tm_vn3_alpha10000,3,10000.0,test,1136,0.1253191277660742,-0.1111857243469133,0.5597913209710841,0.1227356513223582,0.0628137716875449,0.1053893030824496,14.860769057451195,0.3905325443786982,0.9041095890410958,0.2490566037735849,0.0642605633802816,0.2332746478873239,0.3333333333333333,0.6,0.2307692307692307,0.0440140845070422,0.1144366197183098,0.32,0.5,0.2352941176470588,0.0211267605633802,0.0448943661971831,0.4844293156417318,False
rf_qrc_ring_tm_vn5_alpha1000,5,1000.0,test,1136,0.1244751922827605,0.8755132548387788,0.5815366677729269,0.1227356513223582,0.0775868504653786,0.1043067075684702,17.370751824694924,0.4481792717086835,0.8695652173913043,0.3018867924528302,0.0809859154929577,0.2332746478873239,0.3829787234042553,0.6206896551724138,0.2769230769230769,0.051056338028169,0.1144366197183098,0.4827586206896552,0.5833333333333334,0.4117647058823529,0.0316901408450704,0.0448943661971831,0.5369175035060177,False
