split,task,n_runs,delta_f1_median,delta_f1_mean,delta_f1_min,delta_f1_max,delta_f1_improvement_rate,delta_average_precision_median,delta_average_precision_mean,delta_average_precision_min,delta_average_precision_max,delta_average_precision_improvement_rate,delta_roc_auc_median,delta_roc_auc_mean,delta_roc_auc_min,delta_roc_auc_max,delta_roc_auc_improvement_rate,delta_rmse_median,delta_rmse_mean,delta_rmse_min,delta_rmse_max,delta_rmse_improvement_rate,delta_corr_median,delta_corr_mean,delta_corr_min,delta_corr_max,delta_corr_improvement_rate
test,q90_warning,18,-0.07880283482485395,-0.0732493075887182,-0.1750278706800446,0.02776255707762565,0.05555555555555555,-0.05085560370590908,-0.050165348289188644,-0.12931193273952674,0.019668858003352274,0.1111111111111111,-0.018145389687942937,-0.024254689060756358,-0.14837599903851928,0.04171369171369166,0.3888888888888889,,,,,,,,,,
test,q95_crisis,18,-0.06286932374330231,-0.0849740847137787,-0.38213180008845643,0.08260325406758456,0.1111111111111111,-0.07455190249227905,-0.11208356852564548,-0.47739724160115987,0.043075491677073585,0.1111111111111111,0.03150068781778431,0.015328596413058239,-0.18860877684407096,0.14907260201377837,0.6666666666666666,,,,,,,,,,
test,regression,18,,,,,,,,,,,,,,,,0.00040389092453475134,0.00035178101412161676,-0.0008407936777124064,0.0011601592958705997,0.2777777777777778,-0.003837218423737243,-0.0033531724570660176,-0.011695546245545474,0.009570025002063165,0.2777777777777778
train,q90_warning,18,0.034037820929476714,0.042801497559851555,0.0018382352941176405,0.10885608856088558,1.0,0.06023178693148279,0.06872629483175313,0.025936897843607976,0.12404043810894405,1.0,0.040805503603711546,0.03969013805260849,0.023094427877446866,0.05797325878040238,1.0,,,,,,,,,,
train,q95_crisis,18,0.020220588235294046,0.04036279333381567,-0.014705882352941235,0.1512915129151292,0.7777777777777778,0.06421202676162935,0.0901367834261792,0.034663941006303545,0.2117988594732778,1.0,0.05425449702859614,0.05559748273226464,0.04236698068073075,0.06978359052641847,1.0,,,,,,,,,,
train,regression,18,,,,,,,,,,,,,,,,-0.001466699972278853,-0.001504487901932645,-0.0024028993066194035,-0.0006978412300579981,1.0,0.011397377627127836,0.011694706855982721,0.005431781188078633,0.018439308286606115,1.0
val,q90_warning,18,0.08427637721755364,0.07596940562162023,-0.0392156862745098,0.2021636240703178,0.8333333333333334,0.0145323674002628,0.013420722657001394,-0.04387162643114279,0.06363442177947189,0.6666666666666666,0.012640878506621933,-0.008377174546526311,-0.1955895390070922,0.10076192579505305,0.5,,,,,,,,,,
val,q95_crisis,18,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
val,regression,18,,,,,,,,,,,,,,,,0.0006737074107923992,0.0007701316183086665,-0.0007337284212851,0.002876759149808998,0.2777777777777778,-0.01899391051115301,-0.017289787567266634,-0.05523049015285875,0.016942830597664438,0.16666666666666666
