run_tag,scalar,lookback,delta_min,delta_max,model,split,n,task,rmse,corr,actual_std,pred_std,precision,recall,f1,positive_rate,average_precision,roc_auc
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_last_baseline,train,5429,q95_crisis,,,,,0.5845588235294118,0.5845588235294118,0.5845588235294118,0.0501013077914901,0.6164070119190418,0.918731963407818
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_last_baseline,val,1163,regression,0.0536786944083775,0.5303954384299505,0.0613204862386084,0.0445409475959365,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_last_baseline,val,1163,q90_warning,,,,,0.0526315789473684,0.03125,0.0392156862745098,0.0163370593293207,0.0828398521369542,0.7423740053050398
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_last_baseline,val,1163,q95_crisis,,,,,0.0,0.0,0.0,0.0085984522785898,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_last_baseline,test,1164,regression,0.0970798996818297,0.6094008928922269,0.1215856547648024,0.0854319137657516,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_last_baseline,test,1164,q90_warning,,,,,0.4529411764705882,0.5923076923076923,0.5133333333333333,0.1460481099656357,0.5290705175862221,0.8380970093736052
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_last_baseline,test,1164,q95_crisis,,,,,0.4264705882352941,0.5686274509803921,0.4873949579831932,0.0584192439862542,0.5690479189602731,0.7472825608230713
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,rydberg_temporal_features,train,5429,regression,0.0905428348965831,0.4171716594175212,0.0992511268483232,0.0335579301319435,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,rydberg_temporal_features,train,5429,q90_warning,,,,,0.3701657458563536,0.3701657458563536,0.3701657458563536,0.1000184195984527,0.3457972084473729,0.8161971400981041
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,rydberg_temporal_features,train,5429,q95_crisis,,,,,0.3235294117647059,0.3235294117647059,0.3235294117647059,0.0501013077914901,0.2938071889055554,0.8959003467588316
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,rydberg_temporal_features,val,1163,regression,0.0721953314313992,0.2002147967066138,0.0613204862386084,0.029381490636915,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,rydberg_temporal_features,val,1163,q90_warning,,,,,0.0,0.0,0.0,0.1040412725709372,0.0201604658081139,0.3504365605658709
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,rydberg_temporal_features,val,1163,q95_crisis,,,,,0.0,0.0,0.0,0.0266552020636285,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,rydberg_temporal_features,test,1164,regression,0.1203046456991343,0.1723423244011609,0.1215856547648024,0.0284620622051351,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,rydberg_temporal_features,test,1164,q90_warning,,,,,0.1654135338345864,0.1692307692307692,0.1673003802281368,0.1142611683848797,0.1795199058048393,0.6134280613004018
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,rydberg_temporal_features,test,1164,q95_crisis,,,,,0.1428571428571428,0.1372549019607843,0.14,0.0420962199312714,0.0835119437039521,0.6361714497119603
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_plus_rydberg_temporal,train,5429,regression,0.0592617478613996,0.8033372744646698,0.0992511268483232,0.0754448123648548,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_plus_rydberg_temporal,train,5429,q90_warning,,,,,0.6316758747697975,0.6316758747697975,0.6316758747697975,0.1000184195984527,0.7283471491937593,0.9484512068532712
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_plus_rydberg_temporal,train,5429,q95_crisis,,,,,0.6139705882352942,0.6139705882352942,0.6139705882352942,0.0501013077914901,0.7078138741602371,0.9737015079446556
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_plus_rydberg_temporal,val,1163,regression,0.0545886287058183,0.5046740112775998,0.0613204862386084,0.043511238416833,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_plus_rydberg_temporal,val,1163,q90_warning,,,,,0.1818181818181818,0.125,0.1481481481481481,0.0189165950128976,0.0791138871331921,0.6339246242263483
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_plus_rydberg_temporal,val,1163,q95_crisis,,,,,0.0,0.0,0.0,0.0128976784178847,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_plus_rydberg_temporal,test,1164,regression,0.0979698494368717,0.5993281105260215,0.1215856547648024,0.0837471577315712,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_plus_rydberg_temporal,test,1164,q90_warning,,,,,0.4420289855072464,0.4692307692307692,0.4552238805970149,0.1185567010309278,0.504122839715491,0.8656226751971433
scalar-rv_accel_log_5_20__lb-20__delta-0p4-1p1,rv_accel_log_5_20,20,0.4,1.1,raw_plus_rydberg_temporal,test,1164,q95_crisis,,,,,0.2804878048780488,0.4509803921568627,0.3458646616541353,0.070446735395189,0.467226905979604,0.8300125081479133
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_last_baseline,train,5429,regression,0.0609667077565228,0.7899746046380782,0.0992511268483232,0.074713488867998,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_last_baseline,train,5429,q90_warning,,,,,0.6040515653775322,0.6040515653775322,0.6040515653775322,0.1000184195984527,0.6644328124491512,0.9132923095942932
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_last_baseline,train,5429,q95_crisis,,,,,0.5845588235294118,0.5845588235294118,0.5845588235294118,0.0501013077914901,0.6164070119190418,0.918731963407818
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_last_baseline,val,1163,regression,0.0536786944083775,0.5303954384299505,0.0613204862386084,0.0445409475959365,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_last_baseline,val,1163,q90_warning,,,,,0.0526315789473684,0.03125,0.0392156862745098,0.0163370593293207,0.0828398521369542,0.7423740053050398
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_last_baseline,val,1163,q95_crisis,,,,,0.0,0.0,0.0,0.0085984522785898,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_last_baseline,test,1164,regression,0.0970798996818297,0.6094008928922269,0.1215856547648024,0.0854319137657516,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_last_baseline,test,1164,q90_warning,,,,,0.4529411764705882,0.5923076923076923,0.5133333333333333,0.1460481099656357,0.5290705175862221,0.8380970093736052
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_last_baseline,test,1164,q95_crisis,,,,,0.4264705882352941,0.5686274509803921,0.4873949579831932,0.0584192439862542,0.5690479189602731,0.7472825608230713
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,rydberg_temporal_features,train,5429,regression,0.0917364562871713,0.3860547968413702,0.0992511268483232,0.0325774087034648,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,rydberg_temporal_features,train,5429,q90_warning,,,,,0.3167587476979742,0.3167587476979742,0.3167587476979742,0.1000184195984527,0.3323545803639254,0.7997133916651402
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,rydberg_temporal_features,train,5429,q95_crisis,,,,,0.2941176470588235,0.2941176470588235,0.2941176470588235,0.0501013077914901,0.260555704086036,0.8940410806556479
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,rydberg_temporal_features,val,1163,regression,0.070566116165723,0.1847391050511809,0.0613204862386084,0.0273111057178713,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,rydberg_temporal_features,val,1163,q90_warning,,,,,0.0065359477124183,0.03125,0.0108108108108108,0.1315563198624247,0.0254519599542636,0.4484416445623342
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,rydberg_temporal_features,val,1163,q95_crisis,,,,,0.0,0.0,0.0,0.0326741186586414,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,rydberg_temporal_features,test,1164,regression,0.1166946642488126,0.3014513214398543,0.1215856547648024,0.0294340749103428,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,rydberg_temporal_features,test,1164,q90_warning,,,,,0.2558139534883721,0.3384615384615385,0.2913907284768212,0.1477663230240549,0.2820212385951579,0.6227272727272727
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,rydberg_temporal_features,test,1164,q95_crisis,,,,,0.1,0.0980392156862745,0.099009900990099,0.0429553264604811,0.1411708527625978,0.6112784736536123
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_plus_rydberg_temporal,train,5429,regression,0.059583209344508,0.8008072306243069,0.0992511268483232,0.0754060722022245,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_plus_rydberg_temporal,train,5429,q90_warning,,,,,0.6206261510128913,0.6206261510128913,0.6206261510128913,0.1000184195984527,0.7206998707587359,0.9510421401697188
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_plus_rydberg_temporal,train,5429,q95_crisis,,,,,0.6029411764705882,0.6029411764705882,0.6029411764705882,0.0501013077914901,0.6761544188786851,0.9706345743649408
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_plus_rydberg_temporal,val,1163,regression,0.0544712710996103,0.5034226176432793,0.0613204862386084,0.0432993172261438,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_plus_rydberg_temporal,val,1163,q90_warning,,,,,0.1290322580645161,0.125,0.1269841269841269,0.0266552020636285,0.0667618938366445,0.6529619805481874
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_plus_rydberg_temporal,val,1163,q95_crisis,,,,,0.0,0.0,0.0,0.0077386070507308,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_plus_rydberg_temporal,test,1164,regression,0.0968537031094551,0.6119575888350822,0.1215856547648024,0.085493492762781,,,,,,
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_plus_rydberg_temporal,test,1164,q90_warning,,,,,0.3986486486486486,0.4538461538461538,0.4244604316546763,0.127147766323024,0.4798252935547667,0.8202425234340128
scalar-rv_accel_log_5_20__lb-20__delta-0p55-1p25,rv_accel_log_5_20,20,0.55,1.25,raw_plus_rydberg_temporal,test,1164,q95_crisis,,,,,0.3676470588235294,0.4901960784313725,0.4201680672268907,0.0584192439862542,0.5011394613509835,0.7725102619664217
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_last_baseline,train,5415,regression,0.0610388011594886,0.7896128804712804,0.0992926147333993,0.0747014317554211,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_last_baseline,train,5415,q90_warning,,,,,0.6014760147601476,0.6014760147601476,0.6014760147601476,0.1000923361034164,0.6646184209421189,0.913006225280804
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_last_baseline,train,5415,q95_crisis,,,,,0.5830258302583026,0.5830258302583026,0.5830258302583026,0.0500461680517082,0.6153924250584868,0.9181656843784612
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_last_baseline,val,1160,regression,0.0539043510854328,0.5297153361382319,0.0615929410808625,0.0445832753700684,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_last_baseline,val,1160,q90_warning,,,,,0.0526315789473684,0.03125,0.0392156862745098,0.0163793103448275,0.082763426443076,0.7426307624113475
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_last_baseline,val,1160,q95_crisis,,,,,0.0,0.0,0.0,0.0086206896551724,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_last_baseline,test,1161,regression,0.0971136059929947,0.6099763037817262,0.1217158402277649,0.085480382647545,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_last_baseline,test,1161,q90_warning,,,,,0.4470588235294118,0.5891472868217055,0.5083612040133779,0.1464254952627045,0.5231434911171594,0.8361051018568595
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_last_baseline,test,1161,q95_crisis,,,,,0.4393939393939394,0.5686274509803921,0.4957264957264957,0.0568475452196382,0.5689691582542981,0.7476594241300124
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,rydberg_temporal_features,train,5415,regression,0.0868246482285161,0.4910209183560374,0.0992926147333993,0.0412366439273457,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,rydberg_temporal_features,train,5415,q90_warning,,,,,0.4298892988929889,0.4298892988929889,0.4298892988929889,0.1000923361034164,0.4148447948381054,0.8632202595368864
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,rydberg_temporal_features,train,5415,q95_crisis,,,,,0.4206642066420664,0.4206642066420664,0.4206642066420664,0.0500461680517082,0.4045491189890115,0.932448795716573
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,rydberg_temporal_features,val,1160,regression,0.0672354199689438,0.1946237003774356,0.0615929410808625,0.0262908902209035,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,rydberg_temporal_features,val,1160,q90_warning,,,,,0.0235294117647058,0.0625,0.0341880341880341,0.0732758620689655,0.0256060248167605,0.455396719858156
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,rydberg_temporal_features,val,1160,q95_crisis,,,,,0.0,0.0,0.0,0.0094827586206896,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,rydberg_temporal_features,test,1161,regression,0.1136959805481311,0.3790557413095163,0.1217158402277649,0.0323205012990124,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,rydberg_temporal_features,test,1161,q90_warning,,,,,0.2941176470588235,0.3875968992248062,0.334448160535117,0.1464254952627045,0.3953677633196105,0.6318505498467639
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,rydberg_temporal_features,test,1161,q95_crisis,,,,,0.4565217391304347,0.4117647058823529,0.4329896907216495,0.0396210163652024,0.4103320828344172,0.6270800211976684
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_plus_rydberg_temporal,train,5415,regression,0.0590968701685893,0.8046740301352239,0.0992926147333993,0.0757584732106052,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_plus_rydberg_temporal,train,5415,q90_warning,,,,,0.6697416974169742,0.6697416974169742,0.6697416974169742,0.1000923361034164,0.7544338105816434,0.9564802060907948
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_plus_rydberg_temporal,train,5415,q95_crisis,,,,,0.6346863468634686,0.6346863468634686,0.6346863468634686,0.0500461680517082,0.7252207612881446,0.9796165632729424
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_plus_rydberg_temporal,val,1160,regression,0.0554660150481998,0.4744848459853731,0.0615929410808625,0.040923839752113,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_plus_rydberg_temporal,val,1160,q90_warning,,,,,0.0,0.0,0.0,0.0103448275862068,0.0388918000119332,0.5470412234042553
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_plus_rydberg_temporal,val,1160,q95_crisis,,,,,0.0,0.0,0.0,0.0,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_plus_rydberg_temporal,test,1161,regression,0.0973303379089648,0.6063516381626487,0.1217158402277649,0.0830453027062546,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_plus_rydberg_temporal,test,1161,q90_warning,,,,,0.3984375,0.3953488372093023,0.3968871595330739,0.1102497846683893,0.4524725957752555,0.763821284778559
scalar-rv_accel_log_5_20__lb-40__delta-0p25-1p0,rv_accel_log_5_20,40,0.25,1.0,raw_plus_rydberg_temporal,test,1161,q95_crisis,,,,,0.4736842105263157,0.1764705882352941,0.2571428571428571,0.016365202411714,0.218110778289833,0.5842430665960078
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_last_baseline,train,5415,regression,0.0610388011594886,0.7896128804712804,0.0992926147333993,0.0747014317554211,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_last_baseline,train,5415,q90_warning,,,,,0.6014760147601476,0.6014760147601476,0.6014760147601476,0.1000923361034164,0.6646184209421189,0.913006225280804
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_last_baseline,train,5415,q95_crisis,,,,,0.5830258302583026,0.5830258302583026,0.5830258302583026,0.0500461680517082,0.6153924250584868,0.9181656843784612
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_last_baseline,val,1160,regression,0.0539043510854328,0.5297153361382319,0.0615929410808625,0.0445832753700684,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_last_baseline,val,1160,q90_warning,,,,,0.0526315789473684,0.03125,0.0392156862745098,0.0163793103448275,0.082763426443076,0.7426307624113475
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_last_baseline,val,1160,q95_crisis,,,,,0.0,0.0,0.0,0.0086206896551724,,
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_last_baseline,test,1161,regression,0.0971136059929947,0.6099763037817262,0.1217158402277649,0.085480382647545,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_last_baseline,test,1161,q90_warning,,,,,0.4470588235294118,0.5891472868217055,0.5083612040133779,0.1464254952627045,0.5231434911171594,0.8361051018568595
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_last_baseline,test,1161,q95_crisis,,,,,0.4393939393939394,0.5686274509803921,0.4957264957264957,0.0568475452196382,0.5689691582542981,0.7476594241300124
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,rydberg_temporal_features,train,5415,regression,0.0857511113248777,0.5115400210701132,0.0992926147333993,0.0421856445164835,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,rydberg_temporal_features,train,5415,q90_warning,,,,,0.5,0.5,0.5,0.1000923361034164,0.4824286411152793,0.8851969168162848
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,rydberg_temporal_features,train,5415,q95_crisis,,,,,0.5313653136531366,0.5313653136531366,0.5313653136531366,0.0500461680517082,0.5621487469721952,0.957723826849466
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,rydberg_temporal_features,val,1160,regression,0.0654833659957346,0.3395064074445373,0.0615929410808625,0.0318385095161374,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,rydberg_temporal_features,val,1160,q90_warning,,,,,0.0120481927710843,0.03125,0.017391304347826,0.071551724137931,0.0341130303091989,0.5865192819148937
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,rydberg_temporal_features,val,1160,q95_crisis,,,,,0.0,0.0,0.0,0.0060344827586206,,
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,rydberg_temporal_features,test,1161,regression,0.1113353668076521,0.4160168006801606,0.1217158402277649,0.0399400937312621,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,rydberg_temporal_features,test,1161,q90_warning,,,,,0.304,0.2945736434108527,0.2992125984251969,0.1076658053402239,0.3685595423741373,0.5731176011057029
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,rydberg_temporal_features,test,1161,q95_crisis,,,,,0.3448275862068966,0.5882352941176471,0.4347826086956521,0.0749354005167958,0.6162327844894158,0.927698286521816
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_plus_rydberg_temporal,train,5415,regression,0.0591405236988895,0.804387833276903,0.0992926147333993,0.0756556807610757,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_plus_rydberg_temporal,train,5415,q90_warning,,,,,0.6752767527675276,0.6752767527675276,0.6752767527675276,0.1000923361034164,0.7695366662430886,0.9593804403055318
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_plus_rydberg_temporal,train,5415,q95_crisis,,,,,0.6863468634686347,0.6863468634686347,0.6863468634686347,0.0500461680517082,0.7724206434849286,0.9840849224977476
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_plus_rydberg_temporal,val,1160,regression,0.0537096655233918,0.5135145042137526,0.0615929410808625,0.0408219610953345,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_plus_rydberg_temporal,val,1160,q90_warning,,,,,0.0,0.0,0.0,0.0086206896551724,0.0931513304246517,0.7746564716312057
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_plus_rydberg_temporal,val,1160,q95_crisis,,,,,0.0,0.0,0.0,0.0025862068965517,,
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_plus_rydberg_temporal,test,1161,regression,0.0971519959851461,0.6080536086823045,0.1217158402277649,0.0837195785735374,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_plus_rydberg_temporal,test,1161,q90_warning,,,,,0.2841530054644808,0.4031007751937984,0.3333333333333333,0.1576227390180878,0.3938315583776327,0.7593293672255272
scalar-rv_accel_log_5_20__lb-40__delta-0p4-1p1,rv_accel_log_5_20,40,0.4,1.1,raw_plus_rydberg_temporal,test,1161,q95_crisis,,,,,0.4354838709677419,0.5294117647058824,0.4778761061946903,0.053402239448751,0.5754525147987612,0.8479420597067655
scalar-rv_accel_log_5_20__lb-40__delta-0p55-1p25,rv_accel_log_5_20,40,0.55,1.25,raw_last_baseline,train,5415,regression,0.0610388011594886,0.7896128804712804,0.0992926147333993,0.0747014317554211,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p55-1p25,rv_accel_log_5_20,40,0.55,1.25,raw_last_baseline,train,5415,q90_warning,,,,,0.6014760147601476,0.6014760147601476,0.6014760147601476,0.1000923361034164,0.6646184209421189,0.913006225280804
scalar-rv_accel_log_5_20__lb-40__delta-0p55-1p25,rv_accel_log_5_20,40,0.55,1.25,raw_last_baseline,train,5415,q95_crisis,,,,,0.5830258302583026,0.5830258302583026,0.5830258302583026,0.0500461680517082,0.6153924250584868,0.9181656843784612
scalar-rv_accel_log_5_20__lb-40__delta-0p55-1p25,rv_accel_log_5_20,40,0.55,1.25,raw_last_baseline,val,1160,regression,0.0539043510854328,0.5297153361382319,0.0615929410808625,0.0445832753700684,,,,,,
scalar-rv_accel_log_5_20__lb-40__delta-0p55-1p25,rv_accel_log_5_20,40,0.55,1.25,raw_last_baseline,val,1160,q90_warning,,,,,0.0526315789473684,0.03125,0.0392156862745098,0.0163793103448275,0.082763426443076,0.7426307624113475
scalar-rv_accel_log_5_20__lb-40__delta-0p55-1p25,rv_accel_log_5_20,40,0.55,1.25,raw_last_baseline,val,1160,q95_crisis,,,,,0.0,0.0,0.0,0.0086206896551724,,
