run_tag,scalar,lookback,delta_min,delta_max,model,split,n,task,rmse,corr,actual_std,pred_std,precision,recall,f1,positive_rate,average_precision,roc_auc
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,raw_plus_rydberg_temporal,test,1166,q90_warning,,,,,0.4444444444444444,0.5846153846153846,0.5049833887043189,0.1466552315608919,0.548433001069208,0.8515518265518266
scalar-rv_accel_log_5_20__lb-10__delta-0p25-1p0,rv_accel_log_5_20,10,0.25,1.0,raw_plus_rydberg_temporal,test,1166,q95_crisis,,,,,0.3661971830985915,0.5098039215686274,0.4262295081967213,0.0608919382504288,0.5329215315916006,0.7635276532137519
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_last_baseline,train,5436,regression,0.0609303295617801,0.7901092066103582,0.0992201990193862,0.0747068808843405,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_last_baseline,train,5436,q90_warning,,,,,0.6029411764705882,0.6029411764705882,0.6029411764705882,0.1000735835172921,0.6654493531104065,0.9137021427540764
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_last_baseline,train,5436,q95_crisis,,,,,0.5845588235294118,0.5845588235294118,0.5845588235294118,0.050036791758646,0.6163819481902867,0.9188940971431176
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_last_baseline,val,1164,regression,0.0534271915434915,0.5335705690918268,0.0611704585281584,0.044541634310253,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_last_baseline,val,1164,q90_warning,,,,,0.0526315789473684,0.03125,0.0392156862745098,0.0163230240549828,0.0824749892914194,0.7414973498233215
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_last_baseline,val,1164,q95_crisis,,,,,0.0,0.0,0.0,0.0085910652920962,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_last_baseline,test,1166,regression,0.0971308594749556,0.6083992150970652,0.1215041200648765,0.0854151013319957,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_last_baseline,test,1166,q90_warning,,,,,0.4529411764705882,0.5923076923076923,0.5133333333333333,0.1457975986277873,0.5287641430658557,0.8381793881793882
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_last_baseline,test,1166,q95_crisis,,,,,0.4264705882352941,0.5686274509803921,0.4873949579831932,0.0583190394511149,0.5690302280385731,0.7472786423986634
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,rydberg_temporal_features,train,5436,regression,0.0949792615206264,0.295163088858236,0.0992201990193862,0.0234474551020203,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,rydberg_temporal_features,train,5436,q90_warning,,,,,0.2665441176470588,0.2665441176470588,0.2665441176470588,0.1000735835172921,0.2349624315328454,0.7502671678851426
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,rydberg_temporal_features,train,5436,q95_crisis,,,,,0.2536764705882353,0.2536764705882353,0.2536764705882353,0.050036791758646,0.1979322932409172,0.8401447236524353
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,rydberg_temporal_features,val,1164,regression,0.0731260396189572,0.129774881256988,0.0611704585281584,0.0237674137196832,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,rydberg_temporal_features,val,1164,q90_warning,,,,,0.0209790209790209,0.09375,0.0342857142857142,0.1228522336769759,0.0286803375245479,0.5365503533568905
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,rydberg_temporal_features,val,1164,q95_crisis,,,,,0.0,0.0,0.0,0.0335051546391752,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,rydberg_temporal_features,test,1166,regression,0.1197145070842922,0.1938033487119381,0.1215041200648765,0.0235898999571535,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,rydberg_temporal_features,test,1166,q90_warning,,,,,0.1901840490797546,0.2384615384615384,0.2116040955631399,0.1397941680960548,0.1957659932872857,0.5967478467478468
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,rydberg_temporal_features,test,1166,q95_crisis,,,,,0.037037037037037,0.0588235294117647,0.0454545454545454,0.0694682675814751,0.0404974083628177,0.4470060670007913
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_plus_rydberg_temporal,train,5436,regression,0.0596537929282941,0.8001982518078273,0.0992201990193862,0.075197626992117,,,,,,
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_plus_rydberg_temporal,train,5436,q90_warning,,,,,0.6268382352941176,0.6268382352941176,0.6268382352941176,0.1000735835172921,0.7056368683366213,0.9392931436679332
scalar-rv_accel_log_5_20__lb-10__delta-0p4-1p1,rv_accel_log_5_20,10,0.4,1.1,raw_plus_rydberg_temporal,train,5436,q95_crisis,,,,,0.5919117647058824,0.5919117647058824,0.5919117647058824,0.050036791758646,0.6686598984653807,0.9627924659406754
