group,n,innovation_r2_vs_persistence,rmse_ratio_har_over_persistence,qlike_har_minus_persistence
all_complete,48,0.3153237630075397,0.827451652359496,-0.005649007920633803
binary,30,0.034806322496938824,0.9824427095271568,0.003343195254302392
mixed,18,0.7833491764286462,0.46545764960021196,-0.020636013212194094
recovery,17,0.6229473001902807,0.6140461707475419,-0.025037117819441394
relapse,13,-0.26299003896637907,1.1238282960338644,0.04045591235073655
