date,Adj Close,market_price,market_log_return,spy_adj_close,spy_log_return,rv_5d,rv_10d,rv_20d,rv_60d,future_rv_20d
1950-01-03,16.65999984741211,16.65999984741211,,16.65999984741211,,,,,,0.10910610348335169
1950-01-04,16.850000381469727,16.850000381469727,0.011340051857763989,16.850000381469727,0.011340051857763989,,,,,0.1014091832034775
1950-01-05,16.93000030517578,16.93000030517578,0.004736534733260633,16.93000030517578,0.004736534733260633,,,,,0.10672763450000848
1950-01-06,16.979999542236328,16.979999542236328,0.0029489397534256945,16.979999542236328,0.0029489397534256945,,,,,0.10692747317597653
1950-01-09,17.079999923706055,17.079999923706055,0.005872029969355541,17.079999923706055,0.005872029969355541,,,,,0.10505661313246982
1950-01-10,17.030000686645508,17.030000686645508,-0.0029316488992097156,17.030000686645508,-0.0029316488992097156,0.10110032368624257,,,,0.10616307231027113
1950-01-11,17.09000015258789,17.09000015258789,0.0035169710616336225,17.09000015258789,0.0035169710616336225,0.06605603559681164,,,,0.1055070846653688
1950-01-12,16.760000228881836,16.760000228881836,-0.0194983973456182,16.760000228881836,-0.0194983973456182,0.14964671002827248,,,,0.08092588374141042
1950-01-13,16.670000076293945,16.670000076293945,-0.005384407370947031,16.670000076293945,-0.005384407370947031,0.15302625890500418,,,,0.07906564732562507
1950-01-16,16.719999313354492,16.719999313354492,0.002994865249815515,16.719999313354492,0.002994865249815515,0.1487657736255216,,,,0.08675475659641228
1950-01-17,16.860000610351562,16.860000610351562,0.008338422185629302,16.860000610351562,0.008338422185629302,0.1587525283388861,0.1330857631443947,,,0.08154948685813862
1950-01-18,16.850000381469727,16.850000381469727,-0.0005933093373453602,16.850000381469727,-0.0005933093373453602,0.1568333668332987,0.12033308936247604,,,0.08281840632582495
1950-01-19,16.8700008392334,16.8700008392334,0.00118626686744161,16.8700008392334,0.00118626686744161,0.07420363431760096,0.1181107894483525,,,0.08915245870235781
1950-01-20,16.899999618530273,16.899999618530273,0.001776653051889454,16.899999618530273,0.001776653051889454,0.06483886083049585,0.11751832577997737,,,0.08952754187190248
1950-01-23,16.920000076293945,16.920000076293945,0.0011827593303208594,16.920000076293945,0.0011827593303208594,0.06182665155860696,0.113916175860475,,,0.08964348619433818
1950-01-24,16.860000610351562,16.860000610351562,-0.0035523699123065633,16.860000610351562,-0.0035523699123065633,0.03089131325036091,0.11436047938059886,,,0.08913569411996894
1950-01-25,16.739999771118164,16.739999771118164,-0.007142937386289905,16.739999771118164,-0.007142937386289905,0.05922852333529545,0.11854265672901818,,,0.08665977505299312
1950-01-26,16.729999542236328,16.729999542236328,-0.0005975637516919541,16.729999542236328,-0.0005975637516919541,0.05878001859177639,0.0669375452626918,,,0.08663381195309908
1950-01-27,16.81999969482422,16.81999969482422,0.005365148764289174,16.81999969482422,0.005365148764289174,0.068896721079717,0.06689856519138782,,,0.0854117935328935
1950-01-30,17.020000457763672,17.020000457763672,0.011820513639684282,17.020000457763672,0.011820513639684282,0.10825141836664486,0.08815016852320752,,,0.07450921406425415
1950-01-31,17.049999237060547,17.049999237060547,0.0017610089414823449,17.049999237060547,0.0017610089414823449,0.10601251497580659,0.07807985196523985,0.10910610348335169,,0.07427509967675305
1950-02-01,17.049999237060547,17.049999237060547,0.0,17.049999237060547,0.0,0.09309762072400632,0.07802302532249877,0.1014091832034775,,0.07529315826326449
1950-02-02,17.229999542236328,17.229999542236328,0.010501864989667542,17.229999542236328,0.010501864989667542,0.11919624201288358,0.09397562102918898,0.10672763450000848,,0.0657060185777588
1950-02-03,17.290000915527344,17.290000915527344,0.0034763286744508015,17.290000915527344,0.0034763286744508015,0.11561170405889974,0.09516518347310358,0.10692747317597653,,0.06909452642831773
1950-02-06,17.31999969482422,17.31999969482422,0.0017335328679788375,17.31999969482422,0.0017335328679788375,0.08046992001811618,0.09537761164474709,0.10505661313246982,,0.06885093025809598
1950-02-07,17.229999542236328,17.229999542236328,-0.005209861542429639,17.229999542236328,-0.005209861542429639,0.08767610774667786,0.09727731801684984,0.10616307231027113,,0.07082932977469243
1950-02-08,17.209999084472656,17.209999084472656,-0.0011614669459687477,17.209999084472656,-0.0011614669459687477,0.08806298737337154,0.09061527666346753,0.1055070846653688,,0.0708313048319696
1950-02-09,17.280000686645508,17.280000686645508,0.00405924608629693,17.280000686645508,0.00405924608629693,0.05501800246945872,0.09282974928793913,0.08092588374141042,,0.06962914474313125
1950-02-10,17.239999771118164,17.239999771118164,-0.0023175511530002524,17.239999771118164,-0.0023175511530002524,0.051851751979515096,0.08959539692067824,0.07906564732562507,,0.07417262448097212
1950-02-14,17.059999465942383,17.059999465942383,-0.010495741200472697,17.059999465942383,-0.010495741200472697,0.08994019523744196,0.0853365301235971,0.08675475659641228,,0.07607823672993255
1950-02-15,17.059999465942383,17.059999465942383,0.0,17.059999465942383,0.0,0.08198322262431684,0.08487740765797268,0.08154948685813862,,0.07651110857267213
1950-02-16,16.989999771118164,16.989999771118164,-0.004111588546586997,16.989999771118164,-0.004111588546586997,0.08663301333397451,0.08735092656763063,0.08281840632582495,,0.0755446645724225
1950-02-17,17.149999618530273,17.149999618530273,0.009373229156537377,17.149999618530273,0.009373229156537377,0.105369959093328,0.08405298589300376,0.08915245870235781,,0.06785376372340865
1950-02-20,17.200000762939453,17.200000762939453,0.0029112768075352236,17.200000762939453,0.0029112768075352236,0.10610982301472813,0.08351017519908001,0.08952754187190248,,0.0670930845829693
1950-02-21,17.170000076293945,17.170000076293945,-0.0017457488235224083,17.170000076293945,-0.0017457488235224083,0.07655587595238156,0.08351658776011388,0.08964348619433818,,0.06981761957193786
1950-02-23,17.209999084472656,17.209999084472656,0.002326877673212824,17.209999084472656,0.002326877673212824,0.07831785155393173,0.08017148702591209,0.08913569411996894,,0.06935681512279286
1950-02-24,17.280000686645508,17.280000686645508,0.00405924608629693,17.280000686645508,0.00405924608629693,0.07818011716557696,0.08251487659612643,0.08665977505299312,,0.06784358165098889
1950-02-27,17.280000686645508,17.280000686645508,0.0,17.280000686645508,0.0,0.041037988608688375,0.07995919205562438,0.08663381195309908,,0.0708075966595815
1950-02-28,17.219999313354492,17.219999313354492,-0.003478343987638688,17.219999313354492,-0.003478343987638688,0.04320570632518143,0.08101242990823923,0.0854117935328935,,0.07115472521206288
1950-03-01,17.239999771118164,17.239999771118164,0.0011607928346384355,17.239999771118164,0.0011607928346384355,0.04220240552366385,0.0618136116677395,0.07450921406425415,,0.07334745349975003
1950-03-02,17.229999542236328,17.229999542236328,-0.0005802279873279304,17.229999542236328,-0.0005802279873279304,0.03905287690385128,0.06188219883977559,0.07427509967675305,,0.07870290106594349
