feature_set,target,seq_len,units,spectral_radius,leak_rate,input_scaling,input_connectivity,reservoir_connectivity,ridge_alpha,washout,pooling,scale_states,mean_val_rmse,std_val_rmse,mean_val_qlike,std_val_qlike,mean_val_mz_r2,std_val_mz_r2,mean_test_rmse,std_test_rmse,mean_test_qlike,std_test_qlike,mean_test_mz_r2,std_test_mz_r2,n_seeds
pca8,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,0,final,False,0.053076208644238586,0.0003626590921379459,-3.1111553978194975,0.0042679281140538,0.25286419542867467,0.006775241894724715,0.08001223515278996,0.005318948385758689,-2.4676323637524176,0.017072572185645275,0.48710745685225126,0.037548111978828166,5
pca10,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,0,final,False,0.05323680027969842,0.0002228496294766667,-3.1024781278522915,0.004306671107187628,0.24756338582362175,0.006114242901518806,0.07703887964575482,0.0018853194747284337,-2.4640777544138834,0.01685048514041505,0.47812910296048283,0.025628977522321295,5
pca6,future_rv_20d,40,300,0.7,0.5,0.5,0.5,0.1,10.0,0,final,False,0.05385160335358073,0.0003924889330339142,-3.110652994078418,0.005451666582385752,0.23992882834259932,0.008457876880449591,0.07706346653315413,0.0028383464118686003,-2.481683204211495,0.0038118836519848796,0.4855179618881671,0.023783132145874273,5
