variant,innovation_rmse,innovation_r2,reconstructed_rmse,reconstructed_qlike,reconstructed_mz_alpha,reconstructed_mz_beta,reconstructed_mz_r2
temporal,0.367876254212792,0.270289039208057,0.06326047300546156,-2.4656112340906597,0.04078918857638371,0.7433297630947853,0.32799218542908837
shuffled,0.35774140032174345,0.25341291894362294,0.06431435539901853,-2.464288122903221,0.0396417795272713,0.8027802286648588,0.3442222949320305
memoryless,0.3860778691906503,0.16630115259381129,0.06921845602085994,-2.374508535074209,0.03874968086490461,0.8181636953154067,0.2749765713996877
