series,band_lo_days,band_hi_days,n_nonoverlap_periods_significant,significant_periods,full_sample_significant,crisis_period_only,passes_stability_screen
state__vol_level_x_acceleration_grid__is_4,125,250,0,,False,False,False
state__vol_level_x_acceleration_grid__is_4,250,500,1,1993_2004,True,False,False
state__vol_level_x_acceleration_grid__is_4,500,1000,0,,False,False,False
state__vol_level_x_acceleration_grid__is_4,1000,1500,0,,False,False,False
state__vol_level_x_acceleration_grid__is_5,20,60,0,,False,False,False
state__vol_level_x_acceleration_grid__is_5,60,125,0,,False,False,False
state__vol_level_x_acceleration_grid__is_5,125,250,0,,False,False,False
state__vol_level_x_acceleration_grid__is_5,250,500,0,,False,False,False
state__vol_level_x_acceleration_grid__is_5,500,1000,0,,False,False,False
state__vol_level_x_acceleration_grid__is_5,1000,1500,0,,False,False,False
state__vol_level_x_acceleration_grid__is_6,20,60,2,1993_2004;2005_2014,False,False,True
state__vol_level_x_acceleration_grid__is_6,60,125,1,2005_2014,False,False,False
state__vol_level_x_acceleration_grid__is_6,125,250,0,,False,False,False
state__vol_level_x_acceleration_grid__is_6,250,500,0,,False,False,False
state__vol_level_x_acceleration_grid__is_6,500,1000,0,,False,False,False
state__vol_level_x_acceleration_grid__is_6,1000,1500,0,,False,False,False
state__vol_level_x_acceleration_grid__is_7,20,60,0,,False,False,False
state__vol_level_x_acceleration_grid__is_7,60,125,1,2015_2019,False,False,False
state__vol_level_x_acceleration_grid__is_7,125,250,0,,False,False,False
state__vol_level_x_acceleration_grid__is_7,250,500,0,,False,False,False
state__vol_level_x_acceleration_grid__is_7,500,1000,0,,False,False,False
state__vol_level_x_acceleration_grid__is_7,1000,1500,1,2005_2014,False,False,False
state__vol_level_x_acceleration_grid__is_8,20,60,1,2005_2014,False,False,False
state__vol_level_x_acceleration_grid__is_8,60,125,0,,False,False,False
state__vol_level_x_acceleration_grid__is_8,125,250,0,,False,False,False
state__vol_level_x_acceleration_grid__is_8,250,500,0,,False,False,False
state__vol_level_x_acceleration_grid__is_8,500,1000,0,,False,False,False
state__vol_level_x_acceleration_grid__is_8,1000,1500,1,2005_2014,False,False,False
vix_close,20,60,0,,False,False,False
vix_close,60,125,0,,False,False,False
vix_close,125,250,0,,False,False,False
vix_close,250,500,0,,False,False,False
vix_close,500,1000,1,2005_2014,False,False,False
vix_close,1000,1500,1,2005_2014,False,False,False
vix_rv_spread,20,60,0,,False,False,False
vix_rv_spread,60,125,0,,False,False,False
vix_rv_spread,125,250,0,,False,False,False
vix_rv_spread,250,500,1,2005_2014,False,False,False
vix_rv_spread,500,1000,1,2005_2014,False,False,False
vix_rv_spread,1000,1500,1,2005_2014,True,False,False
