date,spy_open,spy_high,spy_low,spy_close,spy_adj_close,spy_volume,vix_open,vix_high,vix_low,vix_close,spy_log_return,spy_abs_log_return,spy_squared_log_return,spy_log_hl_range,spy_log_oc_return,parkinson_var,garman_klass_var,spy_log_volume,spy_log_volume_change,spy_dollar_volume,spy_log_dollar_volume,rv_5d,rv_10d,rv_20d,rv_60d,future_rv_5d,future_rv_20d,rv_ratio_5_20,rv_ratio_20_60,rv_slope_5_20,rv_slope_20_60,spy_drawdown_20d,vix_log_close,vix_log_change,vix_abs_log_change,vix_log_hl_range,vix_ma_5d,vix_std_5d,vix_ma_20d,vix_std_20d
1993-04-27,43.3438,43.875,43.3438,43.875,24.8492,156800,15.39,15.45,13.93,13.93,0.010741937170647642,0.010741937170647642,0.00011538921417814147,0.012181010702736576,0.012181010702736576,5.351569836160899e-05,1.68713040520954e-05,11.962726386898444,0.9182058298102547,3896354.56,15.175551945763917,0.13437182205061063,0.10061004183047487,0.11838178181613918,0.11957266742740115,0.06261757603356626,0.1009377537552232,1.135071798964015,0.9900404863679652,0.015990040234471453,-0.0011908856112619742,-0.029718511692561123,2.6340447877917144,-0.0905347152617062,0.0905347152617062,0.10356421555204011,13.466,1.2109624271627908,12.803999999999998,1.168518630349418
1993-04-28,43.8125,43.9063,43.7188,43.7813,24.7961,85900,15.39,13.78,11.28,13.12,-0.002139176125398823,0.002139176125398823,4.57607449547632e-06,0.004279602218353213,-0.0007123792167814903,6.6057381682409534e-06,8.961459308742735e-06,11.360939107972346,-0.6017872789260981,2129984.9899999998,14.571625490712421,0.13513541426995812,0.10094063981075341,0.11821735080818165,0.11876876422689542,0.06393353342804028,0.10987607593691563,1.1431098171809615,0.9953572522009209,0.016918063461776475,-0.0005514134187137726,-0.031122277533349507,2.574137783515943,-0.059907004275771225,0.059907004275771225,0.20018701951559964,13.668000000000001,0.9928091458079951,12.848500000000001,1.1624396984926033
1993-04-29,43.875,43.9688,43.625,43.9688,24.9023,85000,13.24,13.44,12.8,12.8,0.004273785942702002,0.004273785942702002,1.826524628403724e-05,0.007849910962711133,0.0021356096992725415,2.2225114611558052e-05,2.9048728618552652e-05,11.350406535472453,-0.010532572499892368,2116695.5,14.56536670415523,0.10500076042250352,0.10319543096359447,0.1191614932781766,0.11901211377170283,0.061546264343862005,0.10950395461175697,0.881163516282768,1.0012551621993735,-0.014160732855673083,0.00014937950647377074,-0.023596206100195638,2.5494451709255714,-0.0246926125903717,0.0246926125903717,0.048790164169431834,13.691999999999998,0.963986514428496,12.862,1.1601116098757123
1993-04-30,44.125,44.2813,44.0313,44.0313,24.9377,88500,11.26,12.67,11.25,12.42,0.0014205459852707492,0.0014205459852707492,2.0179508962688433e-06,0.00566172138095795,-0.0021257705980192083,1.1561429482300325e-05,1.4281918663880948e-05,11.390757830996021,0.04035129552356764,2206986.45,14.607138545664068,0.10101971668827316,0.1034415261601837,0.11863260288771632,0.11708150671117305,0.06253849806554715,0.11072116155418121,0.8515341839366581,1.0132480032083089,-0.017612886199443165,0.001551096176543268,-0.02152912926109607,2.519308076505333,-0.030137094420238597,0.030137094420238597,0.11886886568261856,13.504,1.123401085988436,12.831999999999999,1.163563492036423
1993-05-03,44.0938,44.3125,43.9063,44.3125,25.097,80500,13.25,13.52,12.79,12.9,0.006367602414027562,0.006367602414027562,4.0546360503129635e-05,0.0092089865348395,0.004947621292346843,3.0587094406972423e-05,3.294663365573374e-05,11.296012463406655,-0.09474536758936658,2020308.5,14.51876078048873,0.09545711213102719,0.1062134960063055,0.09490417335719188,0.1174952942781071,0.04574224504458175,0.11365123233542633,1.0058262851282018,0.8077274408331379,0.0005529387738353042,-0.022591120920915225,-0.01527873689497139,2.5572273113676265,0.03791923486229365,0.03791923486229365,0.05550645502406682,13.034,0.5612307903171283,12.751999999999999,1.095880323854079
1993-05-04,44.4063,44.625,44.3438,44.4688,25.1855,149100,13.05,13.07,12.1,12.14,0.0035201150056245467,0.0035201150056245467,1.2391209652823102e-05,0.0063213381855066865,0.001406468410227056,1.441227692193187e-05,1.9215508728184478e-05,11.912372500752829,0.6163600373461744,3755158.0500000003,15.138640932840529,0.06261757603356626,0.10482544392827636,0.09409737334424775,0.11770796064359887,0.04859495893339603,0.11306688514403546,0.6654550898512845,0.7994138444821056,-0.0314797973106815,-0.023610587299351116,-0.01180629669156874,2.4965057856313524,-0.060721525736274096,0.060721525736274096,0.07711407503343519,12.676,0.39227541345333,12.652999999999999,1.0544447279068359
1993-05-05,44.4688,44.75,44.4688,44.5938,25.2563,109000,12.12,12.75,11.96,12.38,0.0028071974629813035,0.0028071974629813035,7.880357596168667e-06,0.00630362504626865,0.00280701623524232,1.4331620267085895e-05,1.682409969464687e-05,11.59910316121128,-0.3132693395415487,2752936.6999999997,14.82817879076196,0.06393353342804028,0.10570968944828933,0.09409064450535486,0.11784846838537584,0.04542371925811255,0.11328430661817429,0.6794887394399952,0.7984036262369519,-0.030157111077314572,-0.023757823880020984,-0.00902834452884671,2.5160822672564502,0.01957648162509784,0.01957648162509784,0.06396352308194939,12.528,0.314833289218243,12.56,0.9869730439448071
1993-05-06,44.5313,44.5625,44.4063,44.4375,25.1678,54700,12.83,13.72,12.58,13.22,-0.0035102298651885633,0.0035102298651885633,1.2321713706461719e-05,0.003511346910145975,-0.0021086051459519657,4.446947729568595e-06,4.4472305233218855e-06,10.909618988410072,-0.6894841728012082,1376678.66,14.135184388095565,0.061546264343862005,0.08606132216038899,0.0940812981228803,0.11719925896991425,0.0932334036053748,0.11325904643166461,0.6541817084993445,0.8027465271519467,-0.03253503377901829,-0.02311796084703395,-0.01250078473224936,2.5817308344235403,0.06564856716709011,0.06564856716709011,0.08674637102544477,12.612,0.4376299806914277,12.539,0.9670514055894989
1993-05-07,44.4688,44.4688,44.2813,44.3438,25.1147,68000,12.93,13.48,12.87,13.01,-0.0021120676075838674,0.0021120676075838674,4.460829579005041e-06,0.004225353638195936,-0.002814917760299299,6.439329866924128e-06,5.865902105514667e-06,11.127262984158243,0.21764399574817084,1707799.5999999999,14.350716316236152,0.06253849806554715,0.08401204348209075,0.09424663551824476,0.1172441931547481,0.09215774444957016,0.11367485125900509,0.6635621284691974,0.8038490690438771,-0.03170813745269761,-0.022997557636503338,-0.014584248854290993,2.565718292524414,-0.016012541899126376,0.016012541899126376,0.04630808387612581,12.73,0.45221676218377993,12.548,0.9707327671728979
1993-05-10,44.4063,44.6875,44.4063,44.4375,25.1678,113900,13.42,14.71,13.25,13.72,0.0021120676075838674,0.0021120676075838674,4.460829579005041e-06,0.006312469189857847,0.0007023562990909826,1.4371863721899133e-05,1.973307293966834e-05,11.643076149435274,0.5158131652770308,2866612.42,14.868641549120765,0.04574224504458175,0.07484788987711698,0.08039401723927474,0.11689644710560025,0.09434844065989172,0.11788296614872873,0.5689757349535132,0.6877370461623143,-0.03465177219469299,-0.036502429866325514,-0.01250078473224936,2.6188546222977394,0.053136329773325386,0.053136329773325386,0.10452998218111499,12.894,0.6392808459511239,12.6375,0.9930170666896094
