model,n,recovery_rate,auc,pr_auc,logloss,brier,group
D1,299,0.5752508361204013,0.7193737410730636,0.742894432763785,0.6146079954541648,0.21110326251956166,all_post1990_purged
D1_plus_local_rydberg_joint,299,0.5752508361204013,0.7146584874565098,0.7330789729774667,0.6243503101647434,0.21426310446424102,all_post1990_purged
D1,254,0.5669291338582677,0.7190025252525253,0.7259130328821954,0.6129226679989187,0.2111853875369684,validation_non_spy
D1_plus_local_rydberg_joint,254,0.5669291338582677,0.7123737373737374,0.7213003942299003,0.6264086693640016,0.2157847229250712,validation_non_spy
D1,186,0.6182795698924731,0.7556644213104715,0.8129496038372046,0.5838671898044123,0.19783887163724856,leave_nikkei_out_eval
D1_plus_local_rydberg_joint,186,0.6182795698924731,0.7533374157991427,0.8071657381866257,0.58806818129773,0.19951479427404165,leave_nikkei_out_eval
D1,113,0.504424778761062,0.6760651629072681,0.6332162254044207,0.6652079056387135,0.2329366846798292,nikkei_only_eval
D1_plus_local_rydberg_joint,113,0.504424778761062,0.6638471177944862,0.6214538599013055,0.6840713364414205,0.23853908406934807,nikkei_only_eval
