model,n_oos,n_recovery,n_relapse,roc_auc,pr_auc_recovery,log_loss,brier,accuracy_0p5,mean_p_recovery
har_forecast_gap,17,11,6,0.3636363636363636,0.6284204431931705,0.7300150218993584,0.26970404783921975,0.29411764705882354,0.5375082046754285
har_plus_motion,17,11,6,0.5909090909090909,0.7380895619531983,0.8202125083533159,0.28996115869387534,0.5294117647058824,0.5153823669027291
har_forecast_level_gap,17,11,6,0.34848484848484845,0.6491362469972095,0.7874372537611409,0.2912519791816861,0.35294117647058826,0.5528160322646173
har_plus_state,17,11,6,0.4696969696969697,0.6739652059170776,0.9262023143728225,0.316720011232394,0.4117647058823529,0.5185738750019989
