fold,model,protocol,quantum_tasks_per_date,shots,shot_seed,fit_seconds,feature_seconds,test_rmse,test_qlike,test_mz_alpha,test_mz_beta,test_mz_r2,val_rmse,val_qlike,val_mz_alpha,val_mz_beta,val_mz_r2,q90_target_threshold,q95_target_threshold,q90_score_threshold,q90_threshold_source,q90_val_ap,q90_val_auc,q90_val_n_pos,q90_val_f1,q90_val_precision,q90_val_recall,q90_val_called_rate,q90_test_ap,q90_test_auc,q90_test_n_pos,q90_test_f1,q90_test_precision,q90_test_recall,q90_test_called_rate,q95_score_threshold,q95_threshold_source,q95_val_ap,q95_val_auc,q95_val_n_pos,q95_val_f1,q95_val_precision,q95_val_recall,q95_val_called_rate,q95_test_ap,q95_test_auc,q95_test_n_pos,q95_test_f1,q95_test_precision,q95_test_recall,q95_test_called_rate
1,persistence_20d,classical,0,,,0.0,0.0,0.10856539548525425,-2.314915357224548,0.044207214458964826,0.8092880439050585,0.6364610188582762,0.0266680246597707,-3.2749926242648275,0.07994688606864034,0.29046283273252443,0.09431644496103953,0.2795172269976487,0.3223546732774423,-1.2746913532321458,train_score_quantile_fallback,,,0,,,,,0.8963931914173594,0.9616167563930013,160,0.86,0.9214285714285714,0.80625,0.15503875968992248,-1.132102869804794,train_score_quantile_fallback,,,0,,,,,0.832875764191492,0.9674281517194621,139,0.8294573643410853,0.8991596638655462,0.7697841726618705,0.13178294573643412
2,persistence_20d,classical,0,,,0.0,0.0,0.07279787766982146,-2.3316781368438493,0.07681686299255663,0.528612895858343,0.2838546660719714,0.1452323473013865,-1.6317173651457564,0.07451648951318494,0.7305868228586079,0.5344147907198128,0.24830342801938302,0.30498735042250935,-1.218811068366328,validation_f1,0.769562744206862,0.833244280371108,119,0.743455497382199,0.9861111111111112,0.5966386554621849,0.15483870967741936,0.6626824760411787,0.8253610560262805,129,0.5263157894736842,0.819672131147541,0.3875968992248062,0.06755260243632337,-1.218811068366328,validation_f1,0.8065269175306999,0.920645934523434,83,0.8129032258064516,0.875,0.7590361445783133,0.15483870967741936,0.1145534952698115,0.6598702001081665,43,0.21153846153846154,0.18032786885245902,0.2558139534883721,0.06755260243632337
3,persistence_20d,classical,0,,,0.0,0.0,0.060693056878480395,-2.7099177697624146,0.09914157507067001,0.19191906449837096,0.03680983424840756,0.08185361774979408,-2.381825178229798,0.06637924371862533,0.5934152740432623,0.3444312254743036,0.28046104648449466,0.34527098537914175,-1.3353321308340302,validation_f1,0.5713419490080817,0.8882301273605622,69,0.632258064516129,0.5697674418604651,0.7101449275362319,0.18494623655913978,0.013356811522158611,0.42150088381809414,14,0.0,0.0,0.0,0.018826135105204873,-1.9542470935025127,validation_f1,0.06318294928166376,0.6524024024024024,21,0.16733067729083664,0.09130434782608696,1.0,0.4946236559139785,,,0,,,,
4,persistence_20d,classical,0,,,0.0,0.0,0.13617489063693872,-2.223084182540391,0.06951024670716721,0.5397613236979291,0.2870145710612775,0.06865851887648929,-2.3059112788258718,0.11747458322612611,0.17676554367696162,0.03175244256500631,0.27692294950967533,0.32879681684688117,-2.371191710824851,validation_f1,0.021694068981296662,0.3023439974659487,14,0.0707070707070707,0.03664921465968586,1.0,0.821505376344086,0.528491092237278,0.8920857966192329,82,0.3153846153846154,0.1872146118721461,1.0,0.4850498338870432,-1.1123156069697073,train_score_quantile_fallback,,,0,,,,,0.521679963251265,0.8888588426176312,43,0.5348837209302325,0.5348837209302325,0.5348837209302325,0.047619047619047616
5,persistence_20d,classical,0,,,0.0,0.0,0.051399824549684205,-2.535329659705457,0.05412533004504791,0.6622838255374637,0.4359694587795352,0.15157852855684983,-1.4465706750476668,0.0491810888529446,0.8674963605073188,0.283871028149715,0.26477153686682015,0.31780524482703826,-1.7230649246531493,validation_f1,0.5137959641669775,0.8632963864107416,54,0.4727272727272727,0.35135135135135137,0.7222222222222222,0.23870967741935484,0.490186145062907,0.8983441393338418,76,0.3670212765957447,0.23,0.9078947368421053,0.33185840707964603,-1.1919387477675019,validation_f1,0.5492814354575862,0.850448933782267,33,0.5957446808510638,1.0,0.42424242424242425,0.030107526881720432,0.02015300367614221,0.6755418535127056,12,0.0,0.0,0.0,0.02765486725663717
