fold,split,model,task,n_failed,n_predictions,innovation_rmse,innovation_r2,reconstructed_rmse,reconstructed_qlike,reconstructed_mz_alpha,reconstructed_mz_beta,reconstructed_mz_r2
1,test,garch_1_1_t,innovation,0,942,0.3705669713988682,0.016799511625337993,0.10382881535024717,-2.4449976185991673,0.020191953919254765,0.867698543573464,0.641122846664352
2,test,garch_1_1_t,innovation,0,942,0.36883159463587634,0.15142545547897734,0.06971585048391209,-2.425933595577129,0.055762613218715146,0.6105241751917168,0.36095326358093893
3,test,garch_1_1_t,innovation,0,942,0.42880380300920923,0.21487318339245898,0.05546908546929379,-3.0356146095742536,0.07433364443760598,0.3356838431209347,0.07253863523436388
4,test,garch_1_1_t,innovation,0,942,0.5300355015230134,0.004359336347959708,0.11753029075892038,-2.6317996617229875,0.029429315553437287,0.6990136417011192,0.3790480839157889
5,test,garch_1_1_t,innovation,0,943,0.3286515099342507,0.059057056755941306,0.05446060137264779,-2.613245530224808,0.037556500513292325,0.6947734117652034,0.3613440775176352
