fold,model,true_regime,predicted_regime,count
2,persistence,volatile_rebound,calm,11
2,persistence,volatile_rebound,mild_stress,3
2,persistence,volatile_rebound,deterioration,11
2,persistence,volatile_rebound,acute_crisis,3
2,persistence,volatile_rebound,volatile_rebound,7
2,persistence,volatile_rebound,easing_normalization,1
2,persistence,easing_normalization,calm,4
2,persistence,easing_normalization,mild_stress,4
2,persistence,easing_normalization,deterioration,5
2,persistence,easing_normalization,acute_crisis,1
2,persistence,easing_normalization,volatile_rebound,2
2,persistence,easing_normalization,easing_normalization,2
2,har_state_logit,calm,calm,600
2,har_state_logit,calm,mild_stress,85
2,har_state_logit,calm,deterioration,18
2,har_state_logit,calm,acute_crisis,13
2,har_state_logit,calm,volatile_rebound,42
2,har_state_logit,calm,easing_normalization,12
2,har_state_logit,mild_stress,calm,15
2,har_state_logit,mild_stress,mild_stress,2
2,har_state_logit,mild_stress,deterioration,0
2,har_state_logit,mild_stress,acute_crisis,16
2,har_state_logit,mild_stress,volatile_rebound,1
2,har_state_logit,mild_stress,easing_normalization,1
2,har_state_logit,deterioration,calm,37
2,har_state_logit,deterioration,mild_stress,10
2,har_state_logit,deterioration,deterioration,0
2,har_state_logit,deterioration,acute_crisis,20
2,har_state_logit,deterioration,volatile_rebound,6
2,har_state_logit,deterioration,easing_normalization,1
2,har_state_logit,acute_crisis,calm,2
2,har_state_logit,acute_crisis,mild_stress,3
2,har_state_logit,acute_crisis,deterioration,0
2,har_state_logit,acute_crisis,acute_crisis,9
2,har_state_logit,acute_crisis,volatile_rebound,1
2,har_state_logit,acute_crisis,easing_normalization,0
2,har_state_logit,volatile_rebound,calm,9
2,har_state_logit,volatile_rebound,mild_stress,3
2,har_state_logit,volatile_rebound,deterioration,0
2,har_state_logit,volatile_rebound,acute_crisis,20
2,har_state_logit,volatile_rebound,volatile_rebound,4
2,har_state_logit,volatile_rebound,easing_normalization,0
2,har_state_logit,easing_normalization,calm,6
2,har_state_logit,easing_normalization,mild_stress,0
2,har_state_logit,easing_normalization,deterioration,0
2,har_state_logit,easing_normalization,acute_crisis,10
2,har_state_logit,easing_normalization,volatile_rebound,2
2,har_state_logit,easing_normalization,easing_normalization,0
2,state_logit,calm,calm,620
2,state_logit,calm,mild_stress,57
2,state_logit,calm,deterioration,19
2,state_logit,calm,acute_crisis,0
2,state_logit,calm,volatile_rebound,46
2,state_logit,calm,easing_normalization,28
2,state_logit,mild_stress,calm,11
2,state_logit,mild_stress,mild_stress,6
2,state_logit,mild_stress,deterioration,4
2,state_logit,mild_stress,acute_crisis,2
2,state_logit,mild_stress,volatile_rebound,9
2,state_logit,mild_stress,easing_normalization,3
2,state_logit,deterioration,calm,43
2,state_logit,deterioration,mild_stress,5
2,state_logit,deterioration,deterioration,5
2,state_logit,deterioration,acute_crisis,3
2,state_logit,deterioration,volatile_rebound,12
2,state_logit,deterioration,easing_normalization,6
2,state_logit,acute_crisis,calm,0
2,state_logit,acute_crisis,mild_stress,3
2,state_logit,acute_crisis,deterioration,3
2,state_logit,acute_crisis,acute_crisis,0
2,state_logit,acute_crisis,volatile_rebound,7
2,state_logit,acute_crisis,easing_normalization,2
2,state_logit,volatile_rebound,calm,10
2,state_logit,volatile_rebound,mild_stress,2
2,state_logit,volatile_rebound,deterioration,1
2,state_logit,volatile_rebound,acute_crisis,1
2,state_logit,volatile_rebound,volatile_rebound,18
2,state_logit,volatile_rebound,easing_normalization,4
2,state_logit,easing_normalization,calm,5
2,state_logit,easing_normalization,mild_stress,1
2,state_logit,easing_normalization,deterioration,1
2,state_logit,easing_normalization,acute_crisis,0
2,state_logit,easing_normalization,volatile_rebound,10
2,state_logit,easing_normalization,easing_normalization,1
3,persistence,calm,calm,680
3,persistence,calm,mild_stress,15
3,persistence,calm,deterioration,20
3,persistence,calm,acute_crisis,0
3,persistence,calm,volatile_rebound,34
3,persistence,calm,easing_normalization,17
3,persistence,mild_stress,calm,19
3,persistence,mild_stress,mild_stress,3
3,persistence,mild_stress,deterioration,7
3,persistence,mild_stress,acute_crisis,0
3,persistence,mild_stress,volatile_rebound,3
3,persistence,mild_stress,easing_normalization,3
3,persistence,deterioration,calm,40
3,persistence,deterioration,mild_stress,7
3,persistence,deterioration,deterioration,12
3,persistence,deterioration,acute_crisis,0
3,persistence,deterioration,volatile_rebound,5
3,persistence,deterioration,easing_normalization,2
3,persistence,acute_crisis,calm,0
3,persistence,acute_crisis,mild_stress,0
3,persistence,acute_crisis,deterioration,0
3,persistence,acute_crisis,acute_crisis,0
3,persistence,acute_crisis,volatile_rebound,0
3,persistence,acute_crisis,easing_normalization,0
3,persistence,volatile_rebound,calm,32
3,persistence,volatile_rebound,mild_stress,5
3,persistence,volatile_rebound,deterioration,11
3,persistence,volatile_rebound,acute_crisis,0
3,persistence,volatile_rebound,volatile_rebound,5
3,persistence,volatile_rebound,easing_normalization,3
3,persistence,easing_normalization,calm,12
3,persistence,easing_normalization,mild_stress,3
3,persistence,easing_normalization,deterioration,8
3,persistence,easing_normalization,acute_crisis,0
3,persistence,easing_normalization,volatile_rebound,2
3,persistence,easing_normalization,easing_normalization,0
3,har_state_logit,calm,calm,629
3,har_state_logit,calm,mild_stress,55
3,har_state_logit,calm,deterioration,29
3,har_state_logit,calm,acute_crisis,4
3,har_state_logit,calm,volatile_rebound,31
3,har_state_logit,calm,easing_normalization,18
3,har_state_logit,mild_stress,calm,17
3,har_state_logit,mild_stress,mild_stress,9
3,har_state_logit,mild_stress,deterioration,0
3,har_state_logit,mild_stress,acute_crisis,0
3,har_state_logit,mild_stress,volatile_rebound,9
3,har_state_logit,mild_stress,easing_normalization,0
3,har_state_logit,deterioration,calm,29
3,har_state_logit,deterioration,mild_stress,13
3,har_state_logit,deterioration,deterioration,1
3,har_state_logit,deterioration,acute_crisis,0
3,har_state_logit,deterioration,volatile_rebound,20
3,har_state_logit,deterioration,easing_normalization,3
3,har_state_logit,acute_crisis,calm,0
3,har_state_logit,acute_crisis,mild_stress,0
3,har_state_logit,acute_crisis,deterioration,0
3,har_state_logit,acute_crisis,acute_crisis,0
3,har_state_logit,acute_crisis,volatile_rebound,0
3,har_state_logit,acute_crisis,easing_normalization,0
3,har_state_logit,volatile_rebound,calm,27
3,har_state_logit,volatile_rebound,mild_stress,11
3,har_state_logit,volatile_rebound,deterioration,0
3,har_state_logit,volatile_rebound,acute_crisis,0
3,har_state_logit,volatile_rebound,volatile_rebound,18
3,har_state_logit,volatile_rebound,easing_normalization,0
3,har_state_logit,easing_normalization,calm,9
3,har_state_logit,easing_normalization,mild_stress,3
3,har_state_logit,easing_normalization,deterioration,0
3,har_state_logit,easing_normalization,acute_crisis,0
3,har_state_logit,easing_normalization,volatile_rebound,12
3,har_state_logit,easing_normalization,easing_normalization,1
3,state_logit,calm,calm,649
3,state_logit,calm,mild_stress,33
3,state_logit,calm,deterioration,33
3,state_logit,calm,acute_crisis,6
3,state_logit,calm,volatile_rebound,14
3,state_logit,calm,easing_normalization,31
3,state_logit,mild_stress,calm,18
3,state_logit,mild_stress,mild_stress,6
3,state_logit,mild_stress,deterioration,3
3,state_logit,mild_stress,acute_crisis,0
3,state_logit,mild_stress,volatile_rebound,7
3,state_logit,mild_stress,easing_normalization,1
3,state_logit,deterioration,calm,32
3,state_logit,deterioration,mild_stress,5
3,state_logit,deterioration,deterioration,7
3,state_logit,deterioration,acute_crisis,0
3,state_logit,deterioration,volatile_rebound,21
3,state_logit,deterioration,easing_normalization,1
3,state_logit,acute_crisis,calm,0
3,state_logit,acute_crisis,mild_stress,0
3,state_logit,acute_crisis,deterioration,0
3,state_logit,acute_crisis,acute_crisis,0
3,state_logit,acute_crisis,volatile_rebound,0
3,state_logit,acute_crisis,easing_normalization,0
3,state_logit,volatile_rebound,calm,26
3,state_logit,volatile_rebound,mild_stress,9
3,state_logit,volatile_rebound,deterioration,1
3,state_logit,volatile_rebound,acute_crisis,0
3,state_logit,volatile_rebound,volatile_rebound,17
3,state_logit,volatile_rebound,easing_normalization,3
3,state_logit,easing_normalization,calm,9
3,state_logit,easing_normalization,mild_stress,0
3,state_logit,easing_normalization,deterioration,1
3,state_logit,easing_normalization,acute_crisis,1
3,state_logit,easing_normalization,volatile_rebound,12
3,state_logit,easing_normalization,easing_normalization,2
4,persistence,calm,calm,431
4,persistence,calm,mild_stress,19
4,persistence,calm,deterioration,27
4,persistence,calm,acute_crisis,0
4,persistence,calm,volatile_rebound,41
4,persistence,calm,easing_normalization,14
4,persistence,mild_stress,calm,21
4,persistence,mild_stress,mild_stress,5
4,persistence,mild_stress,deterioration,13
4,persistence,mild_stress,acute_crisis,4
4,persistence,mild_stress,volatile_rebound,18
4,persistence,mild_stress,easing_normalization,4
4,persistence,deterioration,calm,39
4,persistence,deterioration,mild_stress,14
4,persistence,deterioration,deterioration,33
4,persistence,deterioration,acute_crisis,5
4,persistence,deterioration,volatile_rebound,26
4,persistence,deterioration,easing_normalization,8
4,persistence,acute_crisis,calm,13
4,persistence,acute_crisis,mild_stress,4
4,persistence,acute_crisis,deterioration,9
4,persistence,acute_crisis,acute_crisis,3
4,persistence,acute_crisis,volatile_rebound,6
4,persistence,acute_crisis,easing_normalization,1
4,persistence,volatile_rebound,calm,18
4,persistence,volatile_rebound,mild_stress,18
4,persistence,volatile_rebound,deterioration,40
4,persistence,volatile_rebound,acute_crisis,19
4,persistence,volatile_rebound,volatile_rebound,34
4,persistence,volatile_rebound,easing_normalization,13
4,persistence,easing_normalization,calm,12
4,persistence,easing_normalization,mild_stress,4
4,persistence,easing_normalization,deterioration,11
4,persistence,easing_normalization,acute_crisis,5
4,persistence,easing_normalization,volatile_rebound,12
4,persistence,easing_normalization,easing_normalization,4
4,har_state_logit,calm,calm,335
4,har_state_logit,calm,mild_stress,77
4,har_state_logit,calm,deterioration,22
4,har_state_logit,calm,acute_crisis,13
4,har_state_logit,calm,volatile_rebound,57
4,har_state_logit,calm,easing_normalization,28
4,har_state_logit,mild_stress,calm,12
4,har_state_logit,mild_stress,mild_stress,12
4,har_state_logit,mild_stress,deterioration,3
4,har_state_logit,mild_stress,acute_crisis,19
4,har_state_logit,mild_stress,volatile_rebound,18
4,har_state_logit,mild_stress,easing_normalization,1
4,har_state_logit,deterioration,calm,32
4,har_state_logit,deterioration,mild_stress,27
4,har_state_logit,deterioration,deterioration,7
4,har_state_logit,deterioration,acute_crisis,14
4,har_state_logit,deterioration,volatile_rebound,38
4,har_state_logit,deterioration,easing_normalization,7
4,har_state_logit,acute_crisis,calm,13
4,har_state_logit,acute_crisis,mild_stress,0
4,har_state_logit,acute_crisis,deterioration,3
4,har_state_logit,acute_crisis,acute_crisis,12
4,har_state_logit,acute_crisis,volatile_rebound,5
4,har_state_logit,acute_crisis,easing_normalization,3
4,har_state_logit,volatile_rebound,calm,7
4,har_state_logit,volatile_rebound,mild_stress,13
4,har_state_logit,volatile_rebound,deterioration,3
4,har_state_logit,volatile_rebound,acute_crisis,62
4,har_state_logit,volatile_rebound,volatile_rebound,56
4,har_state_logit,volatile_rebound,easing_normalization,1
4,har_state_logit,easing_normalization,calm,5
4,har_state_logit,easing_normalization,mild_stress,12
4,har_state_logit,easing_normalization,deterioration,1
4,har_state_logit,easing_normalization,acute_crisis,16
4,har_state_logit,easing_normalization,volatile_rebound,13
4,har_state_logit,easing_normalization,easing_normalization,1
4,state_logit,calm,calm,386
4,state_logit,calm,mild_stress,46
4,state_logit,calm,deterioration,37
4,state_logit,calm,acute_crisis,2
4,state_logit,calm,volatile_rebound,36
4,state_logit,calm,easing_normalization,25
4,state_logit,mild_stress,calm,14
4,state_logit,mild_stress,mild_stress,11
4,state_logit,mild_stress,deterioration,9
4,state_logit,mild_stress,acute_crisis,10
4,state_logit,mild_stress,volatile_rebound,16
4,state_logit,mild_stress,easing_normalization,5
4,state_logit,deterioration,calm,34
4,state_logit,deterioration,mild_stress,18
4,state_logit,deterioration,deterioration,14
4,state_logit,deterioration,acute_crisis,6
4,state_logit,deterioration,volatile_rebound,42
4,state_logit,deterioration,easing_normalization,11
4,state_logit,acute_crisis,calm,13
4,state_logit,acute_crisis,mild_stress,1
4,state_logit,acute_crisis,deterioration,5
4,state_logit,acute_crisis,acute_crisis,5
4,state_logit,acute_crisis,volatile_rebound,5
4,state_logit,acute_crisis,easing_normalization,7
4,state_logit,volatile_rebound,calm,10
4,state_logit,volatile_rebound,mild_stress,12
4,state_logit,volatile_rebound,deterioration,14
4,state_logit,volatile_rebound,acute_crisis,41
4,state_logit,volatile_rebound,volatile_rebound,55
4,state_logit,volatile_rebound,easing_normalization,10
4,state_logit,easing_normalization,calm,9
4,state_logit,easing_normalization,mild_stress,8
4,state_logit,easing_normalization,deterioration,1
4,state_logit,easing_normalization,acute_crisis,8
4,state_logit,easing_normalization,volatile_rebound,19
4,state_logit,easing_normalization,easing_normalization,3
5,persistence,calm,calm,579
5,persistence,calm,mild_stress,29
5,persistence,calm,deterioration,30
5,persistence,calm,acute_crisis,0
5,persistence,calm,volatile_rebound,36
5,persistence,calm,easing_normalization,19
5,persistence,mild_stress,calm,21
5,persistence,mild_stress,mild_stress,3
5,persistence,mild_stress,deterioration,14
5,persistence,mild_stress,acute_crisis,3
5,persistence,mild_stress,volatile_rebound,4
5,persistence,mild_stress,easing_normalization,7
5,persistence,deterioration,calm,39
5,persistence,deterioration,mild_stress,12
5,persistence,deterioration,deterioration,22
5,persistence,deterioration,acute_crisis,4
5,persistence,deterioration,volatile_rebound,11
5,persistence,deterioration,easing_normalization,9
5,persistence,acute_crisis,calm,0
5,persistence,acute_crisis,mild_stress,0
5,persistence,acute_crisis,deterioration,10
5,persistence,acute_crisis,acute_crisis,0
5,persistence,acute_crisis,volatile_rebound,4
5,persistence,acute_crisis,easing_normalization,2
5,persistence,volatile_rebound,calm,20
5,persistence,volatile_rebound,mild_stress,6
5,persistence,volatile_rebound,deterioration,16
5,persistence,volatile_rebound,acute_crisis,6
5,persistence,volatile_rebound,volatile_rebound,6
5,persistence,volatile_rebound,easing_normalization,2
5,persistence,easing_normalization,calm,14
5,persistence,easing_normalization,mild_stress,6
5,persistence,easing_normalization,deterioration,5
5,persistence,easing_normalization,acute_crisis,3
5,persistence,easing_normalization,volatile_rebound,7
5,persistence,easing_normalization,easing_normalization,2
5,har_state_logit,calm,calm,473
5,har_state_logit,calm,mild_stress,95
5,har_state_logit,calm,deterioration,9
5,har_state_logit,calm,acute_crisis,30
5,har_state_logit,calm,volatile_rebound,42
5,har_state_logit,calm,easing_normalization,44
5,har_state_logit,mild_stress,calm,18
5,har_state_logit,mild_stress,mild_stress,5
5,har_state_logit,mild_stress,deterioration,0
5,har_state_logit,mild_stress,acute_crisis,20
5,har_state_logit,mild_stress,volatile_rebound,6
5,har_state_logit,mild_stress,easing_normalization,3
5,har_state_logit,deterioration,calm,42
5,har_state_logit,deterioration,mild_stress,13
5,har_state_logit,deterioration,deterioration,1
5,har_state_logit,deterioration,acute_crisis,17
5,har_state_logit,deterioration,volatile_rebound,19
5,har_state_logit,deterioration,easing_normalization,5
5,har_state_logit,acute_crisis,calm,0
5,har_state_logit,acute_crisis,mild_stress,3
5,har_state_logit,acute_crisis,deterioration,0
5,har_state_logit,acute_crisis,acute_crisis,2
5,har_state_logit,acute_crisis,volatile_rebound,9
5,har_state_logit,acute_crisis,easing_normalization,2
5,har_state_logit,volatile_rebound,calm,22
5,har_state_logit,volatile_rebound,mild_stress,6
5,har_state_logit,volatile_rebound,deterioration,1
5,har_state_logit,volatile_rebound,acute_crisis,14
5,har_state_logit,volatile_rebound,volatile_rebound,13
5,har_state_logit,volatile_rebound,easing_normalization,0
5,har_state_logit,easing_normalization,calm,13
5,har_state_logit,easing_normalization,mild_stress,4
5,har_state_logit,easing_normalization,deterioration,1
5,har_state_logit,easing_normalization,acute_crisis,11
5,har_state_logit,easing_normalization,volatile_rebound,6
5,har_state_logit,easing_normalization,easing_normalization,2
5,state_logit,calm,calm,491
5,state_logit,calm,mild_stress,73
5,state_logit,calm,deterioration,46
5,state_logit,calm,acute_crisis,9
5,state_logit,calm,volatile_rebound,25
5,state_logit,calm,easing_normalization,49
5,state_logit,mild_stress,calm,15
5,state_logit,mild_stress,mild_stress,13
5,state_logit,mild_stress,deterioration,2
5,state_logit,mild_stress,acute_crisis,8
5,state_logit,mild_stress,volatile_rebound,6
5,state_logit,mild_stress,easing_normalization,8
5,state_logit,deterioration,calm,34
5,state_logit,deterioration,mild_stress,16
5,state_logit,deterioration,deterioration,3
5,state_logit,deterioration,acute_crisis,17
5,state_logit,deterioration,volatile_rebound,20
5,state_logit,deterioration,easing_normalization,7
5,state_logit,acute_crisis,calm,0
5,state_logit,acute_crisis,mild_stress,0
5,state_logit,acute_crisis,deterioration,2
5,state_logit,acute_crisis,acute_crisis,5
5,state_logit,acute_crisis,volatile_rebound,7
5,state_logit,acute_crisis,easing_normalization,2
5,state_logit,volatile_rebound,calm,16
5,state_logit,volatile_rebound,mild_stress,11
5,state_logit,volatile_rebound,deterioration,1
5,state_logit,volatile_rebound,acute_crisis,11
5,state_logit,volatile_rebound,volatile_rebound,14
5,state_logit,volatile_rebound,easing_normalization,3
5,state_logit,easing_normalization,calm,8
5,state_logit,easing_normalization,mild_stress,4
5,state_logit,easing_normalization,deterioration,4
5,state_logit,easing_normalization,acute_crisis,8
5,state_logit,easing_normalization,volatile_rebound,9
5,state_logit,easing_normalization,easing_normalization,4
