model,n,n_clusters,D1_logloss_matched,model_logloss_matched,delta_logloss,D1_brier_matched,model_brier_matched,delta_brier,cluster_mean_delta_logloss,cluster_mean_delta_brier,group
D1_plus_differential_local_rydberg_joint,299,150,0.6146079954541648,0.6339539586663736,0.01934596321220891,0.21110326251956166,0.21731078178846452,0.006207519268902923,0.016092355418100668,0.005567799078263541,all_post1990_purged
D1_plus_differential_local_rydberg_joint,254,149,0.6129226679989187,0.6325470594741539,0.0196243914752352,0.2111853875369684,0.21763718318065983,0.006451795643691457,0.015320953985370419,0.005233612309720295,validation_non_spy
D1_plus_differential_local_rydberg_joint,186,109,0.5838671898044123,0.6103623910676897,0.026495201263277403,0.19783887163724856,0.206258600606569,0.008419728969320488,0.023475752780479833,0.00782094728503474,leave_nikkei_out_eval
D1_plus_differential_local_rydberg_joint,113,109,0.6652079056387135,0.6727860964836768,0.0075781908449634216,0.2329366846798292,0.23550286762769085,0.002566182947861615,0.005496697096590696,0.0019509286915214885,nikkei_only_eval
