model,n,recovery_rate,auc,pr_auc,logloss,brier,group
D1,299,0.5752508361204013,0.7193737410730636,0.742894432763785,0.6146079954541648,0.21110326251956166,all_post1990_purged
D1_plus_differential_local_rydberg_joint,299,0.5752508361204013,0.7079289507416225,0.7220495032233917,0.6339539586663736,0.21731078178846452,all_post1990_purged
D1,254,0.5669291338582677,0.7190025252525253,0.7259130328821954,0.6129226679989187,0.2111853875369684,validation_non_spy
D1_plus_differential_local_rydberg_joint,254,0.5669291338582677,0.7074494949494949,0.7214363225898455,0.6325470594741539,0.21763718318065983,validation_non_spy
D1,186,0.6182795698924731,0.7556644213104715,0.8129496038372046,0.5838671898044123,0.19783887163724856,leave_nikkei_out_eval
D1_plus_differential_local_rydberg_joint,186,0.6182795698924731,0.7364360073484385,0.7770342986229162,0.6103623910676897,0.206258600606569,leave_nikkei_out_eval
D1,113,0.504424778761062,0.6760651629072681,0.6332162254044207,0.6652079056387135,0.2329366846798292,nikkei_only_eval
D1_plus_differential_local_rydberg_joint,113,0.504424778761062,0.6625939849624061,0.6188526511941257,0.6727860964836768,0.23550286762769085,nikkei_only_eval
