component,explained_variance_ratio,cumulative_explained_variance
1,0.5195221710707585,0.5195221710707585
2,0.22431919970363084,0.7438413707743894
3,0.07534561804305977,0.8191869888174491
4,0.05816816244913522,0.8773551512665844
5,0.03956509052403656,0.9169202417906209
6,0.025314247012172116,0.942234488802793
