fold,selected_alpha,innovation_rmse,innovation_r2,reconstructed_rmse,reconstructed_qlike,reconstructed_mz_alpha,reconstructed_mz_beta,reconstructed_mz_r2
1,1000.0,0.33793746328859,0.20949571531957134,0.1015990435702744,-2.3359992002569894,0.00910413014489212,1.080969632087233,0.6718043174048706
2,0.1,0.3265873711047678,0.34910629341200716,0.06026448063024943,-2.4968191929128287,0.029801381284454483,0.8169361059617443,0.37251073124936196
3,0.1,0.34735693943996787,0.4872558824613926,0.04602229208371002,-3.001975539799528,0.05436086277291969,0.5820682385675905,0.1722675758766199
4,0.1,0.44912002164703296,0.29784293470248924,0.11441729278547053,-2.368676801806653,0.030384968684057025,0.9103107928390893,0.37026288202342006
5,0.1,0.2529352742206672,0.4050840876251619,0.04338824423804704,-2.6625732127336073,0.01640376614239507,0.911823729495372,0.5236673429136176
